cell_line,context,spearman_rho,rank
EB3 [Human Burkitt lymphoma],A,0.7939584,61
Kasumi-1,A,0.7936385,62
Ramos,A,0.79333085,63
Ri-1,A,0.79310536,64
Raji,A,0.7930822,65
Sc-1,A,0.792105,66
HT,A,0.791988,67
HL-60,A,0.791835,68
Pfeiffer,A,0.7917909,69
P3HR-1,A,0.79160357,70
EM-2,A,0.79071164,71
Kasumi-2,A,0.7907034,72
MEC-1,A,0.79062116,73
Granta-519,A,0.79050756,74
U-937,A,0.79019576,75
KMS-11,A,0.789761,76
KO52,A,0.7882363,77
BJAB,A,0.7880159,78
MOLM-6,A,0.787933,79
Ci-1,A,0.7876661,80
KCL-22,A,0.787475,81
SKM-1,A,0.7871779,82
HH [Human lymphoma],A,0.7870947,83
NB4,A,0.7869281,84
BV-173,A,0.7865954,85
KMS-28BM,A,0.7862547,86
SU-DHL-4,A,0.78616446,87
KMS-26,A,0.7856393,88
SIG-M5,A,0.78558874,89
GDM-1,A,0.78548,90
RL,A,0.7851531,91
JJN-3,A,0.7850814,92
Daudi,A,0.7849601,93
AMO1,A,0.78473496,94
OCI-Ly7,A,0.7843527,95
ML-2,A,0.78411174,96
SU-DHL-10,A,0.78400946,97
Hs 611.T,A,0.7837125,98
Farage,A,0.7831631,99
SU-DHL-6,A,0.7831547,100
M-07e,A,0.782806,101
AML-193,A,0.7825198,102
OCI-Ly3,A,0.7821523,103
Mono-Mac-6,A,0.7821492,104
KMS-34,A,0.78188837,105
EoL-1,A,0.7815446,106
SU-DHL-16,A,0.78102213,107
SU-DHL-1,A,0.7808515,108
KMS-12-BM,A,0.7805593,109
MM1.S,A,0.7801827,110
Ku812,A,0.7801734,111
EB1,A,0.7800287,112
NCI-H929,A,0.7799007,113
SR,A,0.7798912,114
BDCM,A,0.7798081,115
NU-DHL-1,A,0.77955174,116
DB,A,0.7795293,117
Karpas-620,A,0.77943337,118
MOLM-16,A,0.7787427,119
JURL-MK1,A,0.77866787,120
KMS-20,A,0.7785089,121
HAP1,A,0.7784649,122
U-2932,A,0.7781855,123
UKE-1,A,0.77818304,124
OPM-2,A,0.7776033,125
TF-1,A,0.77709126,126
C8166,A,0.7769168,127
P31/FUJ,A,0.77662265,128
HNT-34,A,0.7760901,129
HuT 102,A,0.7757332,130
NCO2,A,0.7755219,131
Jiyoye,A,0.7754631,132
MOLM-13,A,0.7754495,133
L-428,A,0.77525204,134
THP-1,A,0.7744343,135
HEL 92.1.7,A,0.7743669,136
C-33 A,A,0.7737354,137
L-363,A,0.7736115,138
Kasumi-6,A,0.77313656,139
Karpas-1106P,A,0.77309895,140
MV4-11,A,0.7729432,141
HMC-1,A,0.77286726,142
RC-K8,A,0.7727401,143
TMD8,A,0.77186483,144
KE-97,A,0.7712909,145
CCRF-SB,A,0.7710799,146
CMK,A,0.77098167,147
HEL,A,0.7709539,148
LP-1,A,0.77087367,149
OCI-Ly10,A,0.77010244,150
U-266/70,A,0.7699375,151
Karpas-422,A,0.76992434,152
COR-L26,A,0.7696936,153
OCI-AML-2,A,0.76961,154
U-266/84,A,0.76957273,155
RS4;11,A,0.76937664,156
HEK293,A,0.7693256,157
LAMA-84,A,0.7690832,158
OCI-AML-3,A,0.7689966,159
HDLM-2,A,0.76895523,160
PaTu 8988t,A,0.7687531,161
OPM-1,A,0.7684424,162
ME-1 [Human leukemia],A,0.7683703,163
OCI-My5,A,0.76825327,164
Ki-JK,A,0.7680315,165
KP-4,A,0.76786435,166
PLB-985,A,0.767681,167
L-1236,A,0.76724684,168
MEG-01,A,0.7672097,169
A4/Fukuda,A,0.7668557,170
PL-21,A,0.7668525,171
K-562,A,0.7667618,172
HuNS1,A,0.7664923,173
L-540,A,0.7664629,174
OCI-AML-5,A,0.76629776,175
639V,A,0.7655023,176
SK-MM-2,A,0.7654491,177
MOLP-8,A,0.7652745,178
TC-71,A,0.76477814,179
SNU-1,A,0.76461136,180
SUP-M2,A,0.7645249,181
RPMI-8226,A,0.7640295,182
KMM-1,A,0.7639291,183
SCC-3,A,0.7639252,184
SET-2,A,0.76384646,185
143B,A,0.7634409,186
KYO-1,A,0.763267,187
U266B1,A,0.762799,188
Karpas-299,A,0.76276463,189
Lu-99,A,0.76275903,190
NCI-H1703,A,0.76273936,191
BCP-1,A,0.7621424,192
COLO 320DM,A,0.7619735,193
INA-6,A,0.76175654,194
OCI-M2,A,0.7616438,195
KMS-18,A,0.7613467,196
HCT 15,A,0.7612022,197
NCI-H1299,A,0.76101714,198
SK-NEP-1,A,0.7598625,199
F-36P,A,0.75974053,200
TOV-112D,A,0.75973076,201
SK-UT-1,A,0.7596513,202
KMS-27,A,0.75962156,203
SK-ES-1,A,0.75954825,204
SW1271,A,0.75953287,205
MFE-296,A,0.7593523,206
UM-UC-3,A,0.75908107,207
HMC-1-8,A,0.75906926,208
NCI-H23,A,0.7590362,209
COLO 320,A,0.75897616,210
SNU-398,A,0.75843984,211
Mono-Mac-1,A,0.7583503,212
OCI-M1,A,0.75785595,213
DEL,A,0.75766796,214
SNU-638,A,0.7575641,215
EN,A,0.75753635,216
Karpas-707,A,0.757426,217
AN3-CA,A,0.7573992,218
HCT 116,A,0.75727,219
MES-SA,A,0.7570182,220
JHUEM-2,A,0.75649816,221
RKO,A,0.7564248,222
A3/Kawakami,A,0.7560212,223
HOS,A,0.75592566,224
MUTZ-3,A,0.7558722,225
DMS 273,A,0.75571644,226
NCI-H1155,A,0.75546235,227
RD-ES,A,0.75518185,228
EWS-502,A,0.75506055,229
NCI-H1048,A,0.7546251,230
NOMO-1,A,0.75432193,231
COV434,A,0.7543101,232
MHH-ES-1,A,0.75430626,233
IOMM-Lee,A,0.7538415,234
NCI-H522,A,0.75362295,235
OVK18,A,0.75358564,236
KMS-21-BM,A,0.7532365,237
EW-8,A,0.7530501,238
JK-1,A,0.7529688,239
KM-H2,A,0.7529443,240
OVCAR-8,A,0.75294113,241
MIA PaCa-2,A,0.7528083,242
A2780,A,0.75280464,243
JVM-3,A,0.7525959,244
SW1573,A,0.7525299,245
MOLP-2,A,0.7524761,246
HBL-100,A,0.7524014,247
SK-N-MC,A,0.7522656,248
MSTO-211H,A,0.75212765,249
SBC-5,A,0.75196964,250
COLO 704,A,0.7518917,251
JVM-2,A,0.7514863,252
DU145,A,0.75139284,253
TTC-709,A,0.7513645,254
SW48,A,0.7511655,255
624-mel,A,0.75112605,256
EJM,A,0.7507679,257
HCC1438,A,0.750767,258
SK-MEL-30,A,0.7506873,259
NCI-H2077,A,0.75053775,260
TTC-1240,A,0.75039667,261
SK-PN-DW,A,0.75031483,262
TYK-nu,A,0.7502934,263
NCI-H2286,A,0.75009215,264
OCI-My7,A,0.7499915,265
OC 314,A,0.7498121,266
TT2609-C02,A,0.74930406,267
HuTu 80,A,0.749284,268
CAL-62,A,0.74910325,269
DMS 114,A,0.7490592,270
BJ hTERT+ SV40 Large T+,A,0.748979,271
JMSU-1,A,0.74879825,272
PA-1,A,0.74877703,273
HGC-27,A,0.74870706,274
NB1,A,0.74841434,275
LN-18,A,0.7480998,276
Hs 936.T,A,0.74794024,277
KHM-1B,A,0.74790746,278
Mel Ho,A,0.74789035,279
IGR-37,A,0.74783,280
G-401,A,0.74734944,281
EHEB,A,0.74724054,282
HEY,A,0.747155,283
888-mel,A,0.7471162,284
MeWo,A,0.7469802,285
A-673,A,0.74691564,286
SW620,A,0.7469059,287
NCI-H526,A,0.74680173,288
NCI-H841,A,0.7466926,289
HEC-6,A,0.7466262,290
PODO/SVTERT152,A,0.74653214,291
PANC-1,A,0.7460948,292
NCI-H1581,A,0.7460307,293
RPMI-2650,A,0.7459478,294
WM983B,A,0.74582267,295
LC-1F,A,0.74579614,296
TE 617.T,A,0.7455845,297
HCC1482,A,0.74557626,298
T24,A,0.74541354,299
SLR20,A,0.74510443,300
LK-2,A,0.745042,301
NCI-H520,A,0.7450268,302
NCI-H847,A,0.7449687,303
HT-1080,A,0.744964,304
KYSE-450,A,0.74493164,305
COLO 741,A,0.74484676,306
TE 441.T,A,0.744818,307
A-427,A,0.7447989,308
NCI-H1963,A,0.7447516,309
SK-N-DZ,A,0.7445049,310
HEY A8,A,0.74441993,311
D283 Med,A,0.7443375,312
NCI-H1341,A,0.74396294,313
NCI-H211,A,0.74393606,314
NCI-H28,A,0.743922,315
IST-Mes2,A,0.7438972,316
Mel JuSo,A,0.74388516,317
NCI-H2595,A,0.7438006,318
Daoy,A,0.7437163,319
IPC-298,A,0.7435466,320
HCC2429,A,0.7435077,321
BJ hTERT+ SV40 Large T+ RasG12V,A,0.7434417,322
COLO 699,A,0.7434022,323
NCI-H82,A,0.7433141,324
Mel 928,A,0.74319154,325
CAL-51,A,0.7429472,326
SUM1315MO2,A,0.7429074,327
NCI-H1184,A,0.7428999,328
SW480,A,0.74283266,329
SK-MEL-23,A,0.7424911,330
NCI-H1436,A,0.74233484,331
SK-MEL-3,A,0.74230593,332
SUM159PT,A,0.7422468,333
Rh30,A,0.74219584,334
A2058,A,0.7421464,335
FU-OV-1,A,0.74204975,336
HEC-151,A,0.7419609,337
LOX-IMVI,A,0.7418883,338
MFE-319,A,0.74183667,339
NCI-N417,A,0.7417167,340
Calu-6,A,0.7417019,341
CAL-148,A,0.7416471,342
EFO-27,A,0.7416419,343
COR-L311,A,0.7415397,344
MDA-MB-231,A,0.7414524,345
RKN,A,0.74142027,346
HCC1359,A,0.74138236,347
HCC1576,A,0.7413344,348
HCC1395,A,0.74125165,349
SUIT-2,A,0.7410877,350
A-375,A,0.7408682,351
NCI-H209,A,0.7408553,352
NCI-H1618,A,0.7408184,353
SK-LU-1,A,0.7407762,354
ES-2,A,0.7407708,355
C170,A,0.7404014,356
SH-4,A,0.740393,357
MDA-MB-436,A,0.740255,358
IMR-32,A,0.74011856,359
SNU-484,A,0.73983324,360
HMY-1,A,0.7397134,361
MCF-7,A,0.73968863,362
HBF/TERT88,A,0.7396011,363
IGROV-1,A,0.7395829,364
GSS,A,0.7394447,365
MOR/CPR,A,0.7392354,366
NCI-H2135,A,0.73923534,367
NCI-H524,A,0.73914003,368
HMCB,A,0.7391254,369
GCT,A,0.73886824,370
NCI-H1876,A,0.73875403,371
RERF-LC-A1,A,0.7387371,372
NCI-H2004RT,A,0.7387137,373
BT-12,A,0.73851854,374
LN-319,A,0.73844135,375
HCC33,A,0.7384128,376
SNU-C5,A,0.7384025,377
U-251MG,A,0.73839885,378
FaDu,A,0.73835546,379
NCI-H650,A,0.7383553,380
CHP-212,A,0.73829764,381
HOP-62,A,0.7380971,382
LNCaP,A,0.7380917,383
NCI-H2170,A,0.7380846,384
SF268,A,0.73807234,385
NCI-H1882,A,0.7378975,386
NCI-H3122,A,0.7377815,387
SH-SY5Y,A,0.73777777,388
NCE-G 61,A,0.7376862,389
EBC-1,A,0.73761845,390
PL45,A,0.73760015,391
LS411N,A,0.7375653,392
NCI-H157,A,0.73751944,393
T98G,A,0.7375081,394
NCI-H187,A,0.73750675,395
GAMG,A,0.73742837,396
SK-MEL-1,A,0.7374172,397
TE-6,A,0.737401,398
NCI-H460,A,0.73732203,399
SiHa,A,0.73727936,400
A-549,A,0.7370435,401
SK-HEP-1,A,0.7369392,402
HEC-1-B,A,0.73687905,403
SK-MEL-28,A,0.7367969,404
COLO 849,A,0.73671734,405
G-361,A,0.73661596,406
SNU-C4,A,0.7365944,407
SK-N-AS,A,0.73635036,408
HEC-50B,A,0.7363029,409
NCI-H1105,A,0.7362865,410
MHH-NB-11,A,0.736078,411
COV413B,A,0.73606217,412
SCLC-21H,A,0.7360247,413
HCC461,A,0.73598564,414
SNU-738,A,0.7359695,415
COLO 679,A,0.73592293,416
FTC-238,A,0.73590153,417
CPC-N,A,0.7357544,418
HCC15,A,0.7357378,419
LXFL 529L,A,0.7355679,420
GI-1,A,0.73550165,421
NCI-H2030,A,0.73548186,422
786-O,A,0.7353204,423
IGR-39,A,0.7352293,424
GB-1,A,0.7350256,425
HCC515,A,0.7350238,426
HCC95,A,0.73501295,427
NCI-H2171,A,0.73492855,428
HCC1171,A,0.73485714,429
NCI-H1694,A,0.73483485,430
HEC-1-A,A,0.7348163,431
MDA-MB-453,A,0.73475796,432
LNCaP clone FGC,A,0.73468196,433
KM12,A,0.7345866,434
HCC2108,A,0.7345627,435
NCE-G 84,A,0.73452336,436
HARA [Human squamous cell lung carcinoma],A,0.73449373,437
ESS-1,A,0.734461,438
LCLC-97TM1,A,0.7343299,439
8505C,A,0.73430264,440
MX-1,A,0.7342395,441
SH-10-TC,A,0.7342359,442
HCC1599,A,0.7341856,443
SNU-175,A,0.7341796,444
U2OS,A,0.73417526,445
SNU-410,A,0.73417246,446
MCF-10A,A,0.7341664,447
647V,A,0.7341437,448
HCC1162,A,0.7341436,449
22Rv1,A,0.73396856,450
COLO 800,A,0.7339434,451
COR-L47,A,0.7339241,452
59M,A,0.733912,453
HCC44,A,0.73374975,454
PaTu 8902,A,0.7336485,455
HEK TE,A,0.7336063,456
J82,A,0.7335965,457
HEC-59,A,0.7334783,458
LN-215,A,0.73345757,459
SK-N-BE(2),A,0.7334332,460
NCI-H2882,A,0.73338777,461
769-P,A,0.7333571,462
KYSE-150,A,0.73334825,463
NCI-H1770,A,0.7333394,464
HCA7,A,0.7332612,465
MG-63,A,0.73325455,466
537-mel,A,0.73325384,467
G-402,A,0.7332261,468
SaOS-2,A,0.7331732,469
JHOC-5,A,0.73312336,470
Hs 944.T,A,0.7329215,471
BT-549,A,0.7328019,472
PSN1,A,0.7327978,473
TTC-549,A,0.7327378,474
YD-15,A,0.7326337,475
LXF 289,A,0.73250085,476
NCI-H322,A,0.73244876,477
A-204,A,0.7324428,478
Ishikawa (Heraklio) 02 ER-,A,0.73242223,479
Kelly,A,0.7323951,480
AF22,A,0.7323225,481
WM88,A,0.7323147,482
C32 [Human melanoma],A,0.73227096,483
COR-L88,A,0.73225874,484
NCI-H1930,A,0.7322325,485
LCLC-103H,A,0.73221165,486
PK-45H,A,0.732182,487
KYSE-180,A,0.7321272,488
CAL-120,A,0.73212624,489
RERF-LC-OK,A,0.73210603,490
SW900,A,0.73208785,491
COLO 684,A,0.731929,492
CADO-ES1,A,0.7319217,493
IGR-1,A,0.7318972,494
AM-38,A,0.73174417,495
LN-340,A,0.7317265,496
SK-N-SH,A,0.7317061,497
Panc 10.05,A,0.7314857,498
HD-MY-Z,A,0.73148495,499
KPL-1,A,0.7314478,500
NCI-H2066,A,0.7314411,501
DOV13,A,0.73134285,502
ABC-1,A,0.7312968,503
NCI-H446,A,0.7312784,504
42-MG-BA,A,0.7312647,505
GP2d,A,0.7312377,506
NCE-G 122,A,0.7311743,507
EFM-192A,A,0.7311728,508
NCI-H1836,A,0.7311597,509
A-1207,A,0.73111993,510
NCI-H838,A,0.7310952,511
LN-443,A,0.7310884,512
OAW42,A,0.73095447,513
HOP-92,A,0.7308914,514
NCI-H2452,A,0.7308669,515
CAMA-1,A,0.73081464,516
SW1088,A,0.7307879,517
CCK-81,A,0.73072517,518
NCI-H2804,A,0.7307168,519
OVCA432,A,0.730657,520
TTC-642,A,0.73063445,521
LN-229,A,0.7305518,522
SF126,A,0.73055106,523
LN-464,A,0.73053795,524
KU-19-19,A,0.73048854,525
TGBC11TKB,A,0.7304188,526
MDA-MB-435,A,0.7304172,527
MOR,A,0.7303653,528
CW-2,A,0.73036075,529
KYSE-70,A,0.73025143,530
OV7,A,0.7302402,531
UACC-257,A,0.7302023,532
SF295,A,0.73017824,533
IA-LM,A,0.7301106,534
KYSE-510,A,0.73009026,535
SNU-1196,A,0.7299223,536
IST-Mes1,A,0.7299192,537
HCC1569,A,0.72989047,538
LMSU,A,0.7297935,539
NCI-H2081,A,0.7297163,540
KPL-4,A,0.7296494,541
NCI-H1373,A,0.72963077,542
SUM149PT,A,0.7294818,543
NCI-H2810,A,0.7294731,544
NUGC-3,A,0.72946966,545
Rh41,A,0.72932744,546
BICR 10,A,0.7292281,547
COLO 792,A,0.7292111,548
HCC366,A,0.7292016,549
MKN45,A,0.72919154,550
SK-MEL-5,A,0.7290071,551
Panc 02.03,A,0.7289664,552
NCI-H1693,A,0.7287221,553
MKN74,A,0.72863436,554
NCI-H1755,A,0.7285095,555
COLO 794,A,0.7284366,556
MFM-223,A,0.7284237,557
JJ012,A,0.7283599,558
HBEC3-KT,A,0.7283116,559
H4,A,0.7282867,560
LoVo,A,0.72827524,561
NCI-H1355,A,0.7282662,562
HLF,A,0.72821945,563
KD [Human abdomen rhabdoid tumor],A,0.7281928,564
NCI-H661,A,0.7281927,565
OVCA433,A,0.7281811,566
PC-3,A,0.7280842,567
MDST8,A,0.7280635,568
LN-308,A,0.7280302,569
NCE-G 59,A,0.7279799,570
VCaP,A,0.7279585,571
ChaGo-K-1,A,0.7279553,572
253J-BV,A,0.727955,573
TE-8,A,0.72793263,574
SNU-668,A,0.72791183,575
MON,A,0.7278768,576
CH-157MN,A,0.7278379,577
NCI-H1563,A,0.72776777,578
OVSAHO,A,0.7277333,579
K029AX,A,0.7276824,580
KP-MRT-RY,A,0.7276285,581
SK-MEL-2,A,0.7276104,582
UOK101,A,0.7275863,583
SNU-324,A,0.72750384,584
CAL-78,A,0.7274406,585
SHP-77,A,0.7273931,586
COLO 783,A,0.72736794,587
D341 Med,A,0.7272926,588
HCC4017,A,0.7272572,589
RPMI-7951,A,0.7272499,590
ECC10,A,0.7272398,591
ACC-MESO-1,A,0.72721475,592
SW837,A,0.7271966,593
KP-N-YN,A,0.72718745,594
Lu-65,A,0.7271415,595
OELE,A,0.7270949,596
NCI-H2596,A,0.727094,597
NCI-H2106,A,0.72706527,598
NCI-H1092,A,0.72705734,599
HCC827,A,0.72705036,600
MDA-PCa-2b,A,0.72699517,601
NCI-H2087,A,0.72693646,602
BFTC-909,A,0.72679675,603
NCE-G 124,A,0.72678936,604
RERF-LC-MS,A,0.72678363,605
NCI-H1915,A,0.7266969,606
HeLa,A,0.7266112,607
DU4475,A,0.7266007,608
8-MG-BA,A,0.72659826,609
NCE-G 111,A,0.7264891,610
VMRC-LCD,A,0.72639555,611
VMRC-RCZ,A,0.7263654,612
KS-1 [Human glioblastoma],A,0.72634137,613
COR-L95,A,0.726215,614
NCE-G 140,A,0.72620845,615
SJSA-1,A,0.7261974,616
RERF-LC-Sq1,A,0.72615546,617
hTEC/SVTERT24-B,A,0.72612303,618
HCC2885,A,0.72603387,619
KYSE-140,A,0.7260258,620
SF172,A,0.7259915,621
HCC2157,A,0.7258993,622
TM-31,A,0.72587013,623
SF539,A,0.72581434,624
SW1990,A,0.7257152,625
BT-474,A,0.7257027,626
NCI-H810,A,0.7256262,627
JHUEM-7,A,0.72560173,628
SNU-46,A,0.725598,629
SK-OV-3,A,0.72559327,630
JHUEM-1,A,0.7255407,631
Calu-1,A,0.7255317,632
Hs 746.T,A,0.7254977,633
HEC-251,A,0.7254219,634
HCC193,A,0.7254218,635
NCE-G 44,A,0.72535837,636
T-47d,A,0.7253374,637
NCI-H1975,A,0.72533417,638
HCC2814,A,0.7252418,639
GMS-10,A,0.7251996,640
G-292 clone A141B1,A,0.72511333,641
NCI-H747,A,0.7250944,642
NCI-H647,A,0.7249592,643
PK-45P,A,0.72488993,644
MFE-280,A,0.7248108,645
HSC-3,A,0.724796,646
A-172,A,0.72477186,647
TK-10,A,0.7247506,648
TE-1,A,0.7247196,649
ONCO-DG-1,A,0.72471803,650
MKN1,A,0.7246973,651
NCI-H226,A,0.72468424,652
NCI-H2023,A,0.72467387,653
HCC1143,A,0.7245373,654
NCI-H1793,A,0.72445285,655
WM115,A,0.7244165,656
JL-1,A,0.7243389,657
HuP-T3,A,0.7243297,658
KALS-1,A,0.72432846,659
JHH-7,A,0.72432166,660
HCC2450,A,0.7242794,661
NCI-H716,A,0.72426057,662
NCI-H660,A,0.7242605,663
NTERA-2,A,0.724188,664
NCI-H1568,A,0.7241705,665
NCI-H2461,A,0.7241507,666
ACHN,A,0.72412187,667
SW579,A,0.7241116,668
SW1710,A,0.72404015,669
NCI-H358,A,0.7240072,670
S-117,A,0.7239668,671
SiMa,A,0.72393084,672
HCC78,A,0.7239133,673
LOU-NH91,A,0.7239086,674
HCC630,A,0.723897,675
MDA-MB-435S,A,0.72386837,676
NCI-H1792,A,0.7238672,677
OVCAR-3,A,0.7238169,678
SNU-1040,A,0.7238124,679
HUVEC/TERT2,A,0.7238004,680
BT-20,A,0.7237922,681
KYM-1,A,0.7237159,682
NCI-H1734,A,0.72370076,683
KP-N-RT-BM-1,A,0.72365767,684
HCC1534,A,0.72361314,685
SNU-449,A,0.7236056,686
NCI-H2009,A,0.7235913,687
NCE-G 120,A,0.72348875,688
SNU-423,A,0.72338676,689
NCI-H889,A,0.7233755,690
SW780,A,0.72333324,691
COLO 678,A,0.723254,692
UACC-62,A,0.7232514,693
NCI-H1838,A,0.7232252,694
TOV-21G,A,0.723127,695
KMRC-20,A,0.7231229,696
MDA-MB-157,A,0.7230463,697
KNS-60,A,0.72302836,698
SLR23,A,0.7230271,699
A-431,A,0.72300845,700
HCC364,A,0.7229903,701
RT-112,A,0.72297674,702
NCI-H345,A,0.72294587,703
CHP-126,A,0.7229393,704
KP-2,A,0.7229054,705
Hs 939.T,A,0.72290224,706
OV56,A,0.7228348,707
UCSD-242L,A,0.72283477,708
NCI-H820,A,0.72277546,709
DMS 153,A,0.72274953,710
YKG-1,A,0.722736,711
Panc 03.27,A,0.7226893,712
SNG-M,A,0.72268295,713
AGS,A,0.7226326,714
Tm87-16,A,0.72261906,715
SNU-5,A,0.72255796,716
MDA-MB-330,A,0.72250026,717
SNU-685,A,0.7223028,718
Hs 852.T,A,0.72230154,719
KYSE-520,A,0.72225845,720
NCI-H2085,A,0.7222435,721
HEC-265,A,0.722238,722
NCI-H510A,A,0.7221136,723
BC-3C,A,0.722084,724
CAL-12T,A,0.721997,725
MDA-MB-361,A,0.7219541,726
KMRC-2,A,0.7217792,727
SNU-1272,A,0.7217526,728
SK-LMS-1,A,0.7215546,729
NCI-H1651,A,0.72154826,730
YMB-1,A,0.72149605,731
RD,A,0.72149533,732
NCE-G 118,A,0.7213021,733
COV318,A,0.7212234,734
hTERT-HME1,A,0.7211991,735
BFTC-905,A,0.7211861,736
SW1463,A,0.72117925,737
Ca Ski,A,0.72115153,738
8305C,A,0.72111887,739
RL95-2,A,0.7210578,740
RERF-LC-Ad1,A,0.7210575,741
OVCAR-4,A,0.72097063,742
RVH-421,A,0.7209702,743
COLO 201,A,0.7209458,744
GTL-16,A,0.7209367,745
CAS-1,A,0.7209117,746
ZR-75-1,A,0.72088695,747
HCC2279,A,0.72087955,748
LN-382,A,0.72086686,749
U-138MG,A,0.72086334,750
JIMT-1,A,0.72081065,751
KLM-1,A,0.7207708,752
SNU-503,A,0.72074765,753
WM1799,A,0.7206927,754
SUM52PE,A,0.72055537,755
HCC2911,A,0.7205009,756
HCC1428,A,0.7204512,757
HT-144,A,0.7204176,758
YD-10B,A,0.7202881,759
MPP 89,A,0.72028553,760
SNU-407,A,0.7202299,761
NCE-G 22,A,0.7201932,762
OAW28,A,0.7201882,763
COR-L23,A,0.72015196,764
HT-29,A,0.7201161,765
YAPC,A,0.7200659,766
Sq-1,A,0.7200305,767
NCI-H2052,A,0.71999913,768
EFO-21,A,0.71998984,769
Panc 04.03,A,0.7199799,770
Hs 683,A,0.7199781,771
SK-N-FI,A,0.71993315,772
5637,A,0.7198625,773
NCI-H2029,A,0.7198591,774
TEN,A,0.7198532,775
COR-L105,A,0.71984845,776
CCF-STTG1,A,0.7198281,777
SNU-81,A,0.71976995,778
KNS-42,A,0.7196938,779
TE-14,A,0.71963024,780
KYSE-30,A,0.7195813,781
Hs 695T,A,0.71954083,782
SNU-387,A,0.71952754,783
Caov-3,A,0.7195108,784
SLR25,A,0.7192824,785
OVTOKO,A,0.71925265,786
PODO/TERT256,A,0.71922284,787
NCI-H2196,A,0.7192068,788
HCC38,A,0.7191705,789
Hs 229.T,A,0.71914303,790
NCI-H441,A,0.7190104,791
NCI-H2227,A,0.7190074,792
SCLC-22H,A,0.7189668,793
NCE-G 28T,A,0.71893996,794
DAN-G,A,0.7189099,795
T3M-10,A,0.71887726,796
SNU-C2A,A,0.7188145,797
PE/CA-PJ49,A,0.7187173,798
LHCN-M2,A,0.7186824,799
SW1783,A,0.7186719,800
PLC/PRF/5,A,0.7186555,801
SLR24,A,0.7186481,802
UO-31,A,0.7185847,803
BEWO,A,0.7185769,804
OVCAR-5,A,0.7184541,805
HCC1187,A,0.7182959,806
NCI-H1819,A,0.71828824,807
ECC12,A,0.71827126,808
SNU-216,A,0.7181852,809
Okajima,A,0.71816975,810
NCI-H2172,A,0.71813786,811
WM266-4,A,0.7181266,812
NCI-H2722,A,0.7181235,813
COV362,A,0.7180501,814
NCI-H1573,A,0.7180221,815
MDA-MB-468,A,0.7180051,816
JHOS-4,A,0.7179943,817
PEO1,A,0.71785444,818
UM-UC-1,A,0.7178329,819
COLO 206F,A,0.7178217,820
NCE-G 121,A,0.7178147,821
QGP-1,A,0.71779335,822
KCI-MOH1,A,0.7177747,823
NCI-H1781,A,0.7177648,824
TE-4,A,0.7177138,825
Malme-3M,A,0.7177065,826
NH-6,A,0.7176779,827
Hs 294T,A,0.71762145,828
HCC1833,A,0.71759415,829
TUHR10TKB,A,0.71755785,830
PE/CA-PJ15,A,0.71753603,831
PaTu 8988s,A,0.71753126,832
A101D,A,0.7174883,833
COLO 829,A,0.7174784,834
COR-L279,A,0.71743834,835
SLR26,A,0.71743405,836
NCI-H2803,A,0.71731114,837
NCI-H2373,A,0.7172994,838
CL-34,A,0.7171776,839
TUHR4TKB,A,0.7171566,840
NCI-H2369,A,0.717078,841
DMS 79,A,0.71667665,842
