cell_line,context,spearman_rho,rank
LP-1,A,0.42799163,130
MM1.S,A,0.42781526,131
M-07e,A,0.42685348,132
ME-1 [Human leukemia],A,0.42657897,133
HEL,A,0.42607018,134
MOLM-16,A,0.4259519,135
Hs 611.T,A,0.42358086,136
Karpas-620,A,0.42347482,137
OCI-AML-5,A,0.4230323,138
C8166,A,0.4219186,139
OPM-2,A,0.42118245,140
Mono-Mac-6,A,0.41971824,141
RC-K8,A,0.41875768,142
PL-21,A,0.41862246,143
TF-1,A,0.41765967,144
NCO2,A,0.41736528,145
SU-DHL-10,A,0.41713506,146
OCI-My5,A,0.41693592,147
L-363,A,0.41693404,148
HEL 92.1.7,A,0.41676894,149
L-540,A,0.41674584,150
KMS-20,A,0.41589466,151
MOLP-2,A,0.41523138,152
SU-DHL-5,A,0.4150982,153
KMS-18,A,0.4141966,154
U-266/84,A,0.41342542,155
MV4-11,A,0.4134026,156
Ku812,A,0.41328636,157
CCRF-SB,A,0.4130368,158
OPM-1,A,0.41298196,159
KMS-21-BM,A,0.41275665,160
SET-2,A,0.4110564,161
KMS-34,A,0.41090518,162
SUP-M2,A,0.40843222,163
F-36P,A,0.40775558,164
MUTZ-3,A,0.40628868,165
LAMA-84,A,0.4062686,166
HuT 102,A,0.4052908,167
OCI-AML-2,A,0.40517852,168
KYO-1,A,0.4031977,169
MEG-01,A,0.40282065,170
MOLM-13,A,0.40242615,171
Karpas-707,A,0.40191194,172
KM-H2,A,0.40104133,173
JVM-2,A,0.40070745,174
JVM-3,A,0.3991286,175
THP-1,A,0.39878336,176
KMS-27,A,0.39818305,177
Karpas-299,A,0.3956051,178
HuNS1,A,0.39543188,179
MOLP-8,A,0.39472336,180
SK-NEP-1,A,0.39245173,181
SR,A,0.39233944,182
INA-6,A,0.38993883,183
SCC-3,A,0.38821644,184
Ki-JK,A,0.3874702,185
OCI-M2,A,0.3858245,186
SK-MM-2,A,0.38452035,187
A4/Fukuda,A,0.3830939,188
CPC-N,A,0.3828117,189
NOMO-1,A,0.379234,190
OCI-AML-3,A,0.37922752,191
U266B1,A,0.3780095,192
RPMI-8226,A,0.37733218,193
Mono-Mac-1,A,0.37728167,194
OCI-M1,A,0.37337264,195
EHEB,A,0.37328357,196
JK-1,A,0.36967626,197
TC-71,A,0.36830065,198
K-562,A,0.36672583,199
NCI-H847,A,0.36662725,200
SK-ES-1,A,0.3657209,201
OCI-My7,A,0.36539426,202
DEL,A,0.36496723,203
HAP1,A,0.3638499,204
KMM-1,A,0.3632772,205
RD-ES,A,0.36305484,206
EJM,A,0.36074167,207
A3/Kawakami,A,0.35324222,208
NB1,A,0.35239312,209
SK-N-MC,A,0.35236305,210
NCI-H1694,A,0.34819257,211
EW-8,A,0.34808463,212
MHH-ES-1,A,0.3479681,213
KHM-1B,A,0.34752217,214
EWS-502,A,0.34498948,215
NCI-H82,A,0.34364617,216
BCP-1,A,0.34290054,217
COLO 320DM,A,0.34173352,218
C-33 A,A,0.34079972,219
MES-SA,A,0.3401051,220
SK-PN-DW,A,0.33987322,221
CADO-ES1,A,0.33928967,222
NCI-H1963,A,0.33919445,223
MHH-NB-11,A,0.3386354,224
Kelly,A,0.33754128,225
NCI-H1770,A,0.3372917,226
NCI-N417,A,0.3370871,227
NCI-H1184,A,0.3367694,228
SK-N-DZ,A,0.33676496,229
NCI-H1436,A,0.33350158,230
CHP-126,A,0.33259997,231
D341 Med,A,0.33243385,232
NCI-H2171,A,0.33085853,233
SiMa,A,0.3283629,234
SBC-5,A,0.32816657,235
COLO 320,A,0.32788253,236
COR-L311,A,0.3267217,237
HCC33,A,0.3250556,238
SH-SY5Y,A,0.32485142,239
NCI-H526,A,0.32466573,240
NCI-H1155,A,0.32458395,241
NCI-H187,A,0.32322526,242
NCI-H1930,A,0.3215506,243
SCLC-21H,A,0.3207522,244
NCI-H1048,A,0.31974274,245
SNU-398,A,0.31940177,246
COLO 704,A,0.31894547,247
DMS 273,A,0.31828013,248
NCI-H524,A,0.31769213,249
NCI-H1105,A,0.3163813,250
IMR-32,A,0.31583992,251
OVK18,A,0.31487215,252
COR-L24,A,0.31404212,253
TOV-112D,A,0.31395194,254
KP-N-RT-BM-1,A,0.31394082,255
A-673,A,0.31316948,256
COR-L47,A,0.30915293,257
NCI-H2077,A,0.3083403,258
SK-N-BE(2),A,0.3077258,259
SNU-1,A,0.3073,260
COLO 684,A,0.30695313,261
KP-N-YN,A,0.30598027,262
AN3-CA,A,0.30449945,263
COV434,A,0.3032567,264
SK-N-FI,A,0.3027905,265
SCLC-22H,A,0.3017116,266
NCI-H209,A,0.30135727,267
HEK293,A,0.30127144,268
NCI-H1882,A,0.3004832,269
TTC-1240,A,0.29925245,270
HGC-27,A,0.29882395,271
NCI-H2227,A,0.29873836,272
D283 Med,A,0.29849973,273
NCI-H345,A,0.29746288,274
NCI-H1092,A,0.297029,275
Hs 936.T,A,0.29686984,276
COR-L95,A,0.29600015,277
NCI-H1618,A,0.2956965,278
624-mel,A,0.29428026,279
SHP-77,A,0.2942052,280
NCI-H1581,A,0.29247537,281
NCI-H2106,A,0.29180837,282
NCI-H522,A,0.2906493,283
EN,A,0.2885521,284
SK-MEL-23,A,0.28704017,285
NCI-H446,A,0.28655452,286
888-mel,A,0.28503466,287
NCI-H889,A,0.28476274,288
NCI-H2081,A,0.28318906,289
639V,A,0.2825973,290
ECC10,A,0.2825197,291
RKO,A,0.2820225,292
NCI-H1341,A,0.27970707,293
HCC1482,A,0.27962118,294
DU4475,A,0.27915287,295
DMS 79,A,0.27887288,296
COLO 741,A,0.2786545,297
RPMI-2650,A,0.27760136,298
VMRC-LCD,A,0.27680796,299
NCI-H841,A,0.27668813,300
Mel Ho,A,0.27513134,301
NCI-H1703,A,0.27489084,302
GSS,A,0.27478644,303
DMS 114,A,0.27391598,304
NCI-H1876,A,0.27374974,305
HuTu 80,A,0.2723151,306
TTC-709,A,0.27122554,307
A2780,A,0.27114964,308
IGR-37,A,0.27073833,309
JHUEM-2,A,0.27007037,310
NH-6,A,0.26950216,311
NCI-H211,A,0.26923862,312
SK-N-AS,A,0.26813617,313
COR-L279,A,0.26729372,314
TE 617.T,A,0.2670975,315
Mel 928,A,0.26592654,316
HMY-1,A,0.2657156,317
NCI-H1836,A,0.2656428,318
SK-MEL-3,A,0.2650454,319
DMS 153,A,0.26493725,320
COLO 699,A,0.2642788,321
KP-4,A,0.26424462,322
MFE-296,A,0.2638768,323
HMC-1-8,A,0.26375234,324
TE 441.T,A,0.26077107,325
NCI-H716,A,0.26069197,326
NCI-H146,A,0.25936055,327
SH-4,A,0.25903982,328
Rh41,A,0.25903353,329
HMCB,A,0.2589631,330
SK-MEL-1,A,0.258057,331
PA-1,A,0.25773686,332
NCI-H1299,A,0.25591907,333
A-427,A,0.25377622,334
ECC12,A,0.25322783,335
Rh30,A,0.2531266,336
MeWo,A,0.25156677,337
SK-UT-1,A,0.25112432,338
LXFL 529L,A,0.25074267,339
143B,A,0.25024855,340
KD [Human abdomen rhabdoid tumor],A,0.24913476,341
IOMM-Lee,A,0.24879648,342
NCI-H810,A,0.24838406,343
NCI-H510A,A,0.2479893,344
CHP-212,A,0.247928,345
SK-MEL-30,A,0.24770543,346
TYK-nu,A,0.24742195,347
G-401,A,0.24692993,348
LC-1F,A,0.24688634,349
NCI-H2196,A,0.2464518,350
NCI-H2029,A,0.2463364,351
HEC-6,A,0.24565196,352
G-361,A,0.2451601,353
LOX-IMVI,A,0.24396592,354
KP-MRT-RY,A,0.24321,355
AF22,A,0.2429095,356
NCI-H520,A,0.2425663,357
LNCaP,A,0.24248238,358
COLO 668,A,0.24160373,359
SW1271,A,0.24136075,360
NCI-H2004RT,A,0.2392059,361
SW620,A,0.23873502,362
Lu-99,A,0.2382205,363
PaTu 8988t,A,0.23813216,364
COR-L88,A,0.23715648,365
UM-UC-3,A,0.23670672,366
SK-N-SH,A,0.23664105,367
SNU-484,A,0.23633525,368
Mel JuSo,A,0.23608331,369
SK-MEL-5,A,0.23564418,370
IPC-298,A,0.23531158,371
MX-1,A,0.23506458,372
COLO 679,A,0.23466392,373
HCC2429,A,0.2339989,374
LNCaP clone FGC,A,0.23292722,375
KYM-1,A,0.23251908,376
QGP-1,A,0.23180479,377
SK-MEL-28,A,0.23144256,378
SNU-638,A,0.23118803,379
LN-319,A,0.23117416,380
NCE-G 61,A,0.23112348,381
NCI-H2286,A,0.23051222,382
LK-2,A,0.23020367,383
UACC-257,A,0.22959173,384
NCI-H1385,A,0.22954667,385
COLO 783,A,0.22899145,386
TTC-642,A,0.22848171,387
NCI-H2066,A,0.22796595,388
COLO 849,A,0.2270505,389
NCI-H2198,A,0.22697327,390
SK-MEL-2,A,0.22687754,391
BT-12,A,0.22670183,392
CW-2,A,0.2260175,393
NCI-H69,A,0.2256456,394
CAL-148,A,0.2252482,395
MIA PaCa-2,A,0.22427751,396
MSTO-211H,A,0.22424725,397
G-402,A,0.22374889,398
A-204,A,0.22253588,399
C32 [Human melanoma],A,0.22234607,400
NCI-H23,A,0.22205463,401
JHH-7,A,0.22200015,402
TTC-549,A,0.22115587,403
HCT 15,A,0.22099529,404
NCE-G 122,A,0.22047384,405
NCI-H660,A,0.21937686,406
OVCAR-8,A,0.21934116,407
K029AX,A,0.21791111,408
HCC1569,A,0.21753219,409
Daoy,A,0.21744253,410
HD-MY-Z,A,0.21681304,411
COLO 792,A,0.2166721,412
HT-1080,A,0.21603242,413
MDA-MB-134-VI,A,0.21561809,414
MFE-280,A,0.21478829,415
LN-464,A,0.21455175,416
COLO 800,A,0.21441108,417
SW48,A,0.21408784,418
HOS,A,0.2140611,419
537-mel,A,0.2139129,420
COLO 206F,A,0.21383618,421
HCC2157,A,0.21382923,422
HCC1395,A,0.21308573,423
MDA-MB-435,A,0.21297467,424
HCT 116,A,0.21276005,425
HCC1833,A,0.21273024,426
DEOC-1,A,0.21244942,427
OC 314,A,0.21241328,428
SUM1315MO2,A,0.21231909,429
NCI-H2595,A,0.21231629,430
HBL-100,A,0.21188939,431
MFM-223,A,0.21185707,432
Malme-3M,A,0.21171421,433
TM-31,A,0.21161842,434
NCI-H650,A,0.21138492,435
A2058,A,0.21125469,436
Fu97,A,0.21072762,437
Hep-G2,A,0.21039732,438
LN-18,A,0.21030645,439
STM91-01,A,0.21008153,440
A-375,A,0.20975961,441
SW1573,A,0.209423,442
SNU-175,A,0.20927513,443
MON,A,0.20783266,444
H4,A,0.20733665,445
NCI-H157,A,0.20730293,446
U2OS,A,0.20719862,447
WM983B,A,0.20705618,448
JMSU-1,A,0.2070078,449
Tm87-16,A,0.20652415,450
Hs 695T,A,0.20590009,451
8-MG-BA,A,0.2056756,452
SW480,A,0.20560025,453
FU-OV-1,A,0.20542519,454
BEWO,A,0.20539875,455
SaOS-2,A,0.20497,456
RVH-421,A,0.2048879,457
MDST8,A,0.2047705,458
RERF-LC-OK,A,0.20408064,459
RD,A,0.20377877,460
SUM159PT,A,0.2036787,461
MCF-7,A,0.20359723,462
HCC1438,A,0.20326585,463
UMC-11,A,0.20295948,464
SNU-503,A,0.20293291,465
WM88,A,0.2028996,466
IGR-1,A,0.20207852,467
ES-2,A,0.20129293,468
MOR/CPR,A,0.20125407,469
COLO 201,A,0.20061046,470
MDA-MB-453,A,0.20049094,471
LS411N,A,0.20030588,472
SUM52PE,A,0.20012823,473
CAMA-1,A,0.19984382,474
HCC1187,A,0.19976427,475
VCaP,A,0.19951838,476
GB-1,A,0.19946818,477
SF268,A,0.19864087,478
LN-308,A,0.19834433,479
CAL-62,A,0.19824529,480
HCC1599,A,0.19820215,481
42-MG-BA,A,0.19805886,482
GCT,A,0.19731578,483
SH-10-TC,A,0.19715732,484
Calu-6,A,0.19705641,485
JJ012,A,0.19684719,486
MDA-MB-435S,A,0.19629508,487
NCI-H28,A,0.19625339,488
SNU-C4,A,0.19616826,489
MDA-PCa-2b,A,0.19577993,490
LN-382,A,0.19566955,491
NTERA-2,A,0.19544251,492
Hs 944.T,A,0.19506072,493
SLR20,A,0.1950421,494
YMB-1,A,0.19498648,495
UCSD-242L,A,0.19433923,496
MDA-MB-436,A,0.19428498,497
MDA-MB-330,A,0.1942496,498
NCE-G 59,A,0.19404219,499
NCI-H2030,A,0.19326453,500
NCE-G 44,A,0.19196348,501
IST-Mes1,A,0.19168337,502
C170,A,0.19163945,503
HCC1162,A,0.19143066,504
CCK-81,A,0.19106013,505
HCC1428,A,0.19097227,506
AM-38,A,0.1904345,507
GP2d,A,0.18999757,508
OVSAHO,A,0.18991414,509
LN-215,A,0.18961151,510
HEC-151,A,0.1895137,511
BJ hTERT+ SV40 Large T+,A,0.18912485,512
SNU-1040,A,0.18840183,513
UACC-62,A,0.18837306,514
NCI-H854,A,0.18763666,515
HT-144,A,0.18743123,516
KYSE-70,A,0.1870447,517
RKN,A,0.18701865,518
IGR-39,A,0.18672155,519
KG-1-C,A,0.18643205,520
KNS-60,A,0.1860928,521
GOS-3,A,0.18590675,522
ChaGo-K-1,A,0.1855217,523
DMS 53,A,0.185483,524
PANC-1,A,0.18524115,525
LN-443,A,0.18510881,526
COLO 794,A,0.18501653,527
TE-6,A,0.18482824,528
Hs 852.T,A,0.18464664,529
MKN74,A,0.184475,530
KP-N-SI9s,A,0.18436556,531
LCLC-103H,A,0.18427187,532
COLO 829,A,0.1840494,533
CL-34,A,0.18396188,534
DMS 454,A,0.18380743,535
LoVo,A,0.18369094,536
HUVEC/TERT2,A,0.18331443,537
NCI-H2135,A,0.18325245,538
SNG-M,A,0.18319732,539
BEN,A,0.1831336,540
SNU-466,A,0.182647,541
HEC-108,A,0.18248656,542
SNU-626,A,0.18234682,543
T98G,A,0.18234074,544
EFO-27,A,0.18226685,545
MG-63,A,0.18217124,546
WM115,A,0.18201044,547
BJ hTERT+ SV40 Large T+ RasG12V,A,0.1816816,548
PSN1,A,0.18136561,549
SNU-719,A,0.18133572,550
SNU-668,A,0.18127882,551
IST-Mes2,A,0.18126765,552
NCE-G 120,A,0.18116517,553
MOR,A,0.1809694,554
DV-90,A,0.18063785,555
KNS-42,A,0.18045716,556
NCI-H2804,A,0.18028791,557
KPL-1,A,0.17994343,558
U-251MG,A,0.17975484,559
HCC2911,A,0.17971843,560
TT,A,0.17943515,561
HCC95,A,0.17933069,562
SW1463,A,0.17892425,563
HCC1500,A,0.17884564,564
MFE-319,A,0.1779066,565
SNU-283,A,0.1769323,566
Hs 939.T,A,0.17684607,567
BT-483,A,0.1767291,568
ABC-1,A,0.17672612,569
COLO 678,A,0.17670605,570
NCI-H2810,A,0.17558923,571
OAW42,A,0.17552066,572
SNU-1079,A,0.17551124,573
SNU-738,A,0.17549574,574
NCE-G 124,A,0.17527822,575
LS180,A,0.1749717,576
PLC/PRF/5,A,0.17477691,577
GI-1,A,0.17473994,578
DU145,A,0.17465717,579
KPL-4,A,0.1746394,580
NCI-H3122,A,0.17445357,581
TT2609-C02,A,0.17438425,582
NCI-H460,A,0.17419077,583
BICR 18,A,0.17394087,584
GAMG,A,0.17383508,585
MDA-MB-157,A,0.1735845,586
NCI-H1734,A,0.1735662,587
KYSE-270,A,0.1731863,588
NCI-H2170,A,0.17290737,589
KS-1 [Human glioblastoma],A,0.17263517,590
LN-340,A,0.17252983,591
HCC1576,A,0.17249186,592
OVCA432,A,0.17241918,593
NCE-G 84,A,0.17205031,594
CAL-51,A,0.17183354,595
LN-229,A,0.17174095,596
BT-474,A,0.17166598,597
253J-BV,A,0.17140423,598
KM12,A,0.17139383,599
22Rv1,A,0.17139278,600
NCI-H661,A,0.17116114,601
HCC-56,A,0.17100973,602
EFM-19,A,0.1709554,603
EFM-192A,A,0.17084841,604
YKG-1,A,0.1707994,605
HCC2218,A,0.17067349,606
NCI-H2882,A,0.1705894,607
SNU-1196,A,0.17051989,608
NCI-H1651,A,0.17046727,609
LS1034,A,0.17019896,610
MDA-MB-361,A,0.1701151,611
WM1799,A,0.17011257,612
HEY,A,0.17004086,613
NCE-G 111,A,0.16972657,614
KYSE-450,A,0.16950181,615
HCC2885,A,0.16941714,616
RPMI-7951,A,0.16905132,617
HCC630,A,0.16860124,618
KU-19-19,A,0.16849272,619
RCM-1 [Human rectal adenocarcinoma],A,0.16817239,620
IA-LM,A,0.1680426,621
HEC-50B,A,0.16761772,622
MKN1,A,0.16747361,623
MDA-MB-175-VII,A,0.1671612,624
NCE-G 22,A,0.16702549,625
PODO/SVTERT152,A,0.16675508,626
AGS,A,0.16672942,627
FTC-238,A,0.1665095,628
SK-HEP-1,A,0.16647747,629
SNU-407,A,0.16552794,630
SNU-201,A,0.16530295,631
ONCO-DG-1,A,0.16514206,632
KYSE-140,A,0.16504209,633
A-172,A,0.16500703,634
HCC1263,A,0.16497123,635
NCI-H684,A,0.16461651,636
NCI-H2596,A,0.16455415,637
SNU-601,A,0.16442621,638
RERF-LC-Sq1,A,0.164394,639
NCI-H1781,A,0.16419664,640
OAW28,A,0.16386123,641
WM266-4,A,0.16380097,642
NCI-H226,A,0.1638003,643
SF295,A,0.16376509,644
SUIT-2,A,0.16371809,645
VMRC-RCZ,A,0.16323708,646
SNB-75,A,0.16321817,647
T24,A,0.16314666,648
HCC2108,A,0.16310772,649
NCI-H1563,A,0.16291738,650
59M,A,0.16285847,651
HCC1359,A,0.16284047,652
769-P,A,0.16252623,653
IGROV-1,A,0.16246958,654
ZR-75-1,A,0.16241238,655
SNU-869,A,0.16184992,656
SW403,A,0.1616865,657
JHUEM-7,A,0.16167161,658
MKN45,A,0.16154197,659
SNU-449,A,0.1614752,660
HT-55,A,0.16145018,661
HEC-1-B,A,0.16129231,662
COR-L23,A,0.16124436,663
A101D,A,0.16100088,664
ZR-75-30,A,0.16072093,665
HEY A8,A,0.16070653,666
KYSE-180,A,0.16063748,667
Evsa-T,A,0.1606265,668
HCA7,A,0.16022362,669
SF126,A,0.1600237,670
GTL-16,A,0.15990315,671
NCI-H508,A,0.15980999,672
SW579,A,0.15964061,673
SK-MEL-31,A,0.15955368,674
HT-29,A,0.1594058,675
NCI-H2373,A,0.15932423,676
HCC2450,A,0.15931396,677
CAS-1,A,0.15920806,678
COV413B,A,0.15912992,679
NCI-H2795,A,0.15876967,680
SNU-5,A,0.15872031,681
G-292 clone A141B1,A,0.1585195,682
TGBC11TKB,A,0.15835771,683
SK-BR-3,A,0.15827046,684
PaTu 8902,A,0.15822919,685
NCE-G 28T,A,0.15814608,686
OE19,A,0.15787819,687
NCI-H838,A,0.15755294,688
647V,A,0.15753609,689
TE-8,A,0.15750602,690
SNU-16,A,0.15737365,691
JL-1,A,0.15729316,692
SNU-C1,A,0.15720941,693
HCC1534,A,0.15699868,694
SNU-620,A,0.15697703,695
8505C,A,0.15695362,696
HBF/TERT88,A,0.15686285,697
786-O,A,0.15639848,698
BT-20,A,0.15599346,699
NCE-G 121,A,0.15591028,700
SNU-81,A,0.15584531,701
SJSA-1,A,0.15582,702
AU565,A,0.15559526,703
NCI-H1573,A,0.15558133,704
SK-LU-1,A,0.15535536,705
JHUEM-1,A,0.15532896,706
HCC1171,A,0.15527898,707
HCC15,A,0.15527417,708
U-87MG ATCC,A,0.15511534,709
GMS-10,A,0.15487176,710
SW982,A,0.1545931,711
HLF,A,0.15455954,712
CH-157MN,A,0.15448694,713
KYSE-150,A,0.15448478,714
SW780,A,0.15431793,715
JHOC-5,A,0.15420422,716
HEC-59,A,0.15399663,717
KALS-1,A,0.15399063,718
JHH-5,A,0.15374896,719
BC-3C,A,0.15364231,720
DAN-G,A,0.15351373,721
23132/87,A,0.15348677,722
Okajima,A,0.15334255,723
KE-39,A,0.15317133,724
ACC-MESO-1,A,0.15308692,725
SW1353,A,0.15289369,726
HCC1195,A,0.15283842,727
NCE-G 118,A,0.15272494,728
CL-11,A,0.1526542,729
Hs 294T,A,0.15256226,730
FaDu,A,0.15227342,731
KNS-81,A,0.15226428,732
LS513,A,0.1521546,733
YAPC,A,0.15199016,734
COV318,A,0.15158036,735
SW948,A,0.15122046,736
A-1207,A,0.1512028,737
253J,A,0.1510677,738
SF539,A,0.15089042,739
Ishikawa (Heraklio) 02 ER-,A,0.15074897,740
T-47d,A,0.15053754,741
RERF-LC-A1,A,0.15053514,742
SNU-489,A,0.15039608,743
NCI-H1793,A,0.15026857,744
U-178MG,A,0.15020238,745
NCI-H1693,A,0.1499746,746
TOV-21G,A,0.14982373,747
Rh18,A,0.14979893,748
NCI-H1755,A,0.1496901,749
LN-235,A,0.14953256,750
LCLC-97TM1,A,0.14948955,751
RT-112,A,0.14943868,752
KMRC-20,A,0.14903085,753
TK-10,A,0.14896739,754
HHSteC,A,0.14891286,755
U-343MGa,A,0.1487369,756
SNU-410,A,0.14865206,757
Hs 706.T,A,0.14826931,758
A-549,A,0.14810143,759
SNU-520,A,0.14803588,760
NCI-H2452,A,0.14757407,761
UOK101,A,0.14749981,762
NCI-H2803,A,0.14735077,763
U-138MG,A,0.14734447,764
TIME,A,0.14720134,765
NCE-G 140,A,0.14707077,766
Kuramochi,A,0.14679913,767
NCI-H2722,A,0.14677976,768
KLE,A,0.14676104,769
SW1417,A,0.14654164,770
SiHa,A,0.14653908,771
Li-7,A,0.14634837,772
HCC44,A,0.14581859,773
NCE-G 130,A,0.14576645,774
LN-428,A,0.1457503,775
OUMS-23,A,0.1457111,776
ML-1 [Human thyroid carcinoma],A,0.14554209,777
ESS-1,A,0.14545085,778
YD-10B,A,0.14532816,779
NCI-H1355,A,0.14530998,780
JHOS-4,A,0.14522187,781
SLR23,A,0.14496972,782
KYSE-510,A,0.14496331,783
SLR26,A,0.14485402,784
SNU-1272,A,0.1447696,785
DBTRG-05MG,A,0.14465159,786
NCI-H1819,A,0.14434986,787
CAL-120,A,0.14410725,788
HCC2688,A,0.14401662,789
HEC-1-A,A,0.1440101,790
SNU-1105,A,0.14339827,791
PL45,A,0.14327183,792
MDA-MB-468,A,0.14320526,793
UACC-812,A,0.14318874,794
HCC1419,A,0.1429504,795
SLR24,A,0.14246394,796
NHAHTDD,A,0.14233245,797
HT115,A,0.14204371,798
CCF-STTG1,A,0.14192654,799
LOU-NH91,A,0.1417913,800
CAL-78,A,0.14177758,801
JHH-6,A,0.1416569,802
HCC202,A,0.14159945,803
BT-549,A,0.14157452,804
RL95-2,A,0.1413212,805
SLR25,A,0.14123301,806
HuG1-N,A,0.14119583,807
KMRC-2,A,0.14109662,808
MCF-10A,A,0.14109318,809
SK-RC-20,A,0.1410693,810
HCC2814,A,0.14097488,811
NUGC-3,A,0.14095102,812
SW1088,A,0.14082575,813
ASC2telo differentiated,A,0.14076251,814
EBC-1,A,0.14070469,815
NUGC-4,A,0.14040008,816
VMRC-RCW,A,0.140291,817
TUHR10TKB,A,0.14017478,818
NCI-H1792,A,0.14015132,819
OVCAR-5,A,0.13954368,820
OVCAR-3,A,0.13947241,821
SNU-C5,A,0.13936351,822
NCI-H2052,A,0.13921246,823
KATO III,A,0.1391954,824
UACC-893,A,0.13901958,825
HCC1588,A,0.13889603,826
GCIY,A,0.1388733,827
NCI-H441,A,0.13867536,828
OVTOKO,A,0.13860244,829
JHH-1,A,0.13851644,830
COR-L105,A,0.13847497,831
HOP-62,A,0.13823143,832
U-118MG,A,0.13822083,833
IM95,A,0.13795869,834
NCI-H1568,A,0.13790539,835
NCI-H2087,A,0.13781244,836
DOV13,A,0.13778238,837
NCI-N87,A,0.13768183,838
EFO-21,A,0.137576,839
C2BBe1,A,0.13752687,840
T84,A,0.13728794,841
U-2197,A,0.13706931,842
