dataset_id,biological_experiment,variant_id,access_resource,upstream_variant,original_deposit,file_url,file_format,file_size,X_representation,raw_counts_available,raw_counts_location,normalized_data_available,log1p,hvg_subset,all_genes_retained,cell_filtering,gene_filtering,mitochondrial_filtering,minimum_cells_per_perturbation,perturbation_labels_modified,controls_collapsed,guide_level_metadata_retained,multiple_guides_handling,cell_context_metadata_retained,batch_metadata_retained,embeddings_retained,graphs_retained,precomputed_de_retained,source_code_url,preprocessing_documentation_url,last_verified,notes
nadig2025,Nadig 2025 Jurkat,nadig_jurkat_scperturb,scPerturb,Nadig author/GEO processed counts,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE264667,https://zenodo.org/api/records/13350497/files/NadigOConner2024_jurkat.h5ad/content,H5AD,1293665804,raw sparse UMI counts,yes,X,no,no,no,yes,unknown,unknown,no,unknown,yes,no,yes,unknown,yes,yes,no,no,no,https://github.com/altoslabs/scPerturb,https://zenodo.org/records/13350497,2026-08-21,2394 categorical perturbation labels inspected remotely; dataset-specific transformation needs deeper audit
nadig2025,Nadig 2025 HepG2,nadig_hepg2_scperteval,scPertEval,nadig_hepg2_scperturb,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE264667,https://storage.googleapis.com/scperteval/processed/nadig25hepg2_processed_complete.h5ad,H5AD,1236448196,total-normalized 1e4 then log1p sparse float32,no,,yes,yes,no,yes,min_genes=200,min_cells=3,no,unknown,yes,yes,no,removed,yes,no,no,no,no,https://github.com/Virtual-Cell-Research-Community/scPertEval,https://github.com/Virtual-Cell-Research-Community/scPertEval/blob/main/docs/user-guide/datasets.md,2026-08-21,Evaluation-specific derivative
nadig2025,Nadig 2025 Jurkat,nadig_jurkat_scperteval,scPertEval,nadig_jurkat_scperturb,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE264667,https://storage.googleapis.com/scperteval/processed/nadig25jurkat_processed_complete.h5ad,H5AD,2004474709,total-normalized 1e4 then log1p sparse float32,no,,yes,yes,no,yes,min_genes=200,min_cells=3,no,unknown,yes,yes,no,removed,yes,no,no,no,no,https://github.com/Virtual-Cell-Research-Community/scPertEval,https://github.com/Virtual-Cell-Research-Community/scPertEval/blob/main/docs/user-guide/datasets.md,2026-08-21,Evaluation-specific derivative
jiang2025,Jiang 2025 six-line signaling screens,jiang_author,author,author Seurat objects,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281048,https://zenodo.org/records/14518762,RDS,2.6-5.6GB per pathway,Seurat author-processed with raw assay available,yes,Seurat raw assay,yes,unknown,no,yes,author pipeline,author pipeline,no,unknown,no,no,yes,three guides per target,yes,yes,yes,yes,yes,https://github.com/longmanz/Mixscale,https://pmc.ncbi.nlm.nih.gov/articles/PMC12083445/,2026-08-21,Five pathway-specific pools applied to all six lines; 218 unique targets
jiang2025,Jiang 2025 six-line signaling screens,jiang_perturbench,PerturBench,jiang_author,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281048,https://huggingface.co/datasets/altoslabs/perturbench/resolve/main/jiang24_processed.h5ad.gz,H5AD.gz,15232554616,total-normalized and log1p on selected gene union,yes,counts layer for selected genes,yes,yes,yes,no,common pipeline,min_cells=10,no,unknown,yes,yes,no,removed,yes,yes,no,no,yes,https://github.com/altoslabs/perturbench,https://github.com/altoslabs/perturbench/tree/main/notebooks/neurips2025/data_curation,2026-08-21,Restores Seurat raw X then subsets to HVG/DE/target union; file is far above unapproved-download limit
srivatsan2020,Srivatsan 2020 sci-Plex 3,srivatsan_sciplex3_scperturb,scPerturb,author GEO count tables,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139944,https://zenodo.org/api/records/13350497/files/SrivatsanTrapnell2020_sciplex3.h5ad/content,H5AD,2526631614,raw sparse UMI counts,yes,X,no,no,no,yes,author count reconstruction,unknown,no,unknown,yes,yes,no,not applicable chemical,yes,yes,no,no,no,https://github.com/altoslabs/scPerturb/blob/main/dataset_processing/scripts/SrivatsanTrapnell2020.py,https://zenodo.org/records/13350497,2026-08-21,Rich dose and cell-line metadata
srivatsan2020,Srivatsan 2020 sci-Plex 3,srivatsan_sciplex3_pertpy,PertPy,srivatsan_sciplex3_scperturb,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139944,https://exampledata.scverse.org/pertpy/srivatsan_2020_sciplex3.h5ad,H5AD,unknown,same prepared scPerturb representation,yes,X,no,no,no,yes,upstream,upstream,upstream,upstream,no additional change,upstream,no,not applicable chemical,yes,yes,no,no,no,https://github.com/scverse/pertpy,https://pertpy.readthedocs.io,2026-08-21,Convenience mirror/loader
srivatsan2020,Srivatsan 2020 sci-Plex 3,srivatsan_perturbench,PerturBench,srivatsan_sciplex3_scperturb,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139944,https://huggingface.co/datasets/altoslabs/perturbench/resolve/main/srivatsan20_processed.h5ad.gz,H5AD.gz,unknown,total-normalized and log1p on selected gene union,yes,counts layer for selected genes,yes,yes,yes,no,highest-dose conditions retained,min_cells=10,no,20,yes,yes,no,not applicable chemical,yes,yes,no,no,yes,https://github.com/altoslabs/perturbench,https://github.com/altoslabs/perturbench/tree/main/notebooks/neurips2025/data_curation,2026-08-21,Human symbols and 10uM/highest-dose subset materially change scope
mcfaline2024,McFaline-Figueroa 2024 sci-Plex-GxE,mcfaline_author,author,GEO count matrix and annotations,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225775,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225775,MTX/TXT/RDS,multiple files,raw UMI count matrix,yes,UMI.count.matrix,yes,unknown,no,yes,author pipeline,author annotations,no,unknown,no,no,yes,guide-read assignment; single and chemical-genetic designs,yes,yes,no,no,yes,https://github.com/cole-trapnell-lab,https://pmc.ncbi.nlm.nih.gov/articles/PMC10879025/,2026-08-21,522-kinase CRISPRi panel in A172/T98G/U87MG plus focused genetic and chemical experiments
mcfaline2024,McFaline-Figueroa 2024 sci-Plex-GxE,mcfaline_perturbench,PerturBench,mcfaline_author,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225775,https://huggingface.co/datasets/altoslabs/perturbench/resolve/main/mcfaline23_processed.h5ad.gz,H5AD.gz,unknown,total-normalized and log1p on selected gene union,yes,counts layer for selected genes,yes,yes,yes,no,filter each perturbation-context group,min_cells=10,no,20,yes,yes,no,combinations removed,yes,yes,no,no,yes,https://github.com/altoslabs/perturbench,https://github.com/altoslabs/perturbench/tree/main/notebooks/neurips2025/data_curation,2026-08-21,Drops combination perturbations and temozolomide/thioguanine conditions
scbasecount,scBaseCount,scbasecount_arc_atlas,Arc Virtual Cell Atlas,many original studies,https://virtualcellchallenge.org/datasets,gs://arc-institute-virtual-cell-atlas,Zarr/Parquet,over 502 million cells,STARsolo Unique counts,yes,X; UniqueAndMult layer,no,no,no,yes,atlas harmonization,atlas harmonization,unknown,not applicable,yes,unknown,no,not applicable,yes,yes,unknown,unknown,no,https://github.com/ArcInstitute/arc-virtual-cell-atlas,https://github.com/ArcInstitute/arc-virtual-cell-atlas,2026-08-21,Observational context reference; 27 organisms and 75 tissues stated by live VCC page
tahoe100m,Tahoe-100M,tahoe100m_author,Tahoe/Arc reference,author release,https://virtualcellchallenge.org/datasets,unknown,unknown,about 100 million cells,unknown,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,not applicable,yes,yes,unknown,unknown,unknown,https://virtualcellchallenge.org/datasets,https://virtualcellchallenge.org/datasets,2026-08-21,About 60000 drug perturbations across 50 cancer models and more than 1100 drugs; access lineage needs dedicated audit
