target_gene,source_target_gene,dataset_id,dataset_context_id,canonical_context_id,study_id,perturbation_modality,crispri,n_cells,n_cells_status,n_cells_source,n_cells_scope,n_guides,n_control_cells,guide_level_metadata_available,raw_counts_available,knockdown_efficiency_available,knockdown_efficiency,source_variant_id,source_url,target_list_source,confidence,present_in_vcc2026_panel,assay_family,notes
ACAT2,ACAT2,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1765,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
C1QBP,C1QBP,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,711,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
CALM3,CALM3,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,681,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
CAMSAP2,CAMSAP2,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1750,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
CASP2,CASP2,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1590,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
CASP3,CASP3,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1037,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
CAST,CAST,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,2252,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
CDCA2,CDCA2,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1717,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
CENPO,CENPO,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1193,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
CHMP3,CHMP3,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1168,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
CLDN6,CLDN6,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,864,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
CLDN7,CLDN7,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1303,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
CREG1,CREG1,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1703,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
DAXX,DAXX,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1332,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
DHCR24,DHCR24,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1420,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
DHX36,DHX36,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1392,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
DLG5,DLG5,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,864,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
DNAJA3,DNAJA3,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,65,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
DNMT1,DNMT1,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,893,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
DZIP3,DZIP3,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,447,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
EID2,EID2,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1167,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
EIF4B,EIF4B,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1585,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
EPB41L2,EPB41L2,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,219,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
EPHB4,EPHB4,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,241,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
ETV4,ETV4,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,263,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
EWSR1,EWSR1,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,538,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
FDPS,FDPS,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,154,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
FOXH1,FOXH1,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1967,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
GSK3B,GSK3B,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1059,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
HAT1,HAT1,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1025,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
HIRA,HIRA,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,3407,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
HMGB2,HMGB2,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1487,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
HMGN1,HMGN1,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,2004,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
HSBP1,HSBP1,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,166,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,True,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
IDE,IDE,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,2248,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
IGF2R,IGF2R,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,3109,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
IKBKG,IKBKG,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,790,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
INSIG1,INSIG1,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1363,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
IRF3,IRF3,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,985,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
KAT2A,KAT2A,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,2120,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
KDM1A,KDM1A,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,352,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
KDM2B,KDM2B,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,2142,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
KDR,KDR,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,2056,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
KIF1B,KIF1B,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,2407,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
KIF20A,KIF20A,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,183,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
KLF10,KLF10,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1932,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
LAD1,LAD1,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1361,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
LRPPRC,LRPPRC,vcc2025_h1,vcc2025_h1::H1,H1,vcc2025,CRISPRi,True,1053,exact,source_targets/vcc2025_h1_counts.csv,All cells retained in the scPertEval hosted representation after its documented cell QC and assigned to the perturbation label.,,38176,False,False,False,,vcc2025_h1_scperteval,https://storage.googleapis.com/scperteval/processed/arch1_processed_complete.h5ad,remote H5AD obs/perturbation categorical metadata,high,False,unknown,Cell counts are after scPertEval QC; original count-level representation is not verified here.
