target_gene,n_biological_datasets,n_crispri_datasets,n_cell_contexts,n_crispri_cell_contexts,contexts,datasets
PAN2,1,1,1,1,K562,replogle2022
PAPOLA,1,1,1,1,K562,replogle2022
PARP3,0,0,0,0,,
PATL1,1,1,1,1,K562,replogle2022
PBLD,0,0,0,0,,
PCGF1,1,1,1,1,K562,replogle2022
PCGF6,1,1,1,1,K562,replogle2022
PDCD4,1,1,1,1,K562,replogle2022
PDE6D,1,1,1,1,K562,replogle2022
PDK1,2,2,4,4,A172;K562;T98G;U87MG,mcfaline2024;replogle2022
PDK3,1,1,3,3,A172;T98G;U87MG,mcfaline2024
PGLS,1,1,1,1,K562,replogle2022
PHF11,0,0,0,0,,
PHF19,1,1,1,1,K562,replogle2022
PHF23,1,1,1,1,K562,replogle2022
PHF8,1,1,1,1,K562,replogle2022
PI4KB,1,1,1,1,K562,replogle2022
PIM2,2,2,4,4,A172;K562;T98G;U87MG,mcfaline2024;replogle2022
PIN1,1,1,1,1,K562,replogle2022
PINK1,2,2,4,4,A172;K562;T98G;U87MG,mcfaline2024;replogle2022
PKN3,2,2,4,4,A172;K562;T98G;U87MG,mcfaline2024;replogle2022
PLAGL2,1,1,1,1,K562,replogle2022
PLCG1,1,1,1,1,K562,replogle2022
PNP,1,1,1,1,K562,replogle2022
POLD4,1,1,1,1,K562,replogle2022
POR,1,1,1,1,K562,replogle2022
PPIF,1,1,1,1,K562,replogle2022
PPIP5K2,1,1,1,1,K562,replogle2022
PQBP1,1,1,1,1,K562,replogle2022
PRDX3,1,1,1,1,K562,replogle2022
PRKAB2,1,1,1,1,K562,replogle2022
PRKACA,2,2,4,4,A172;K562;T98G;U87MG,mcfaline2024;replogle2022
PRMT2,1,1,1,1,K562,replogle2022
PRMT6,1,1,1,1,K562,replogle2022
PRMT7,1,1,1,1,K562,replogle2022
PRNP,1,1,1,1,K562,replogle2022
PSKH1,2,2,4,4,A172;K562;T98G;U87MG,mcfaline2024;replogle2022
PSMB9,0,0,0,0,,
PTMS,1,1,1,1,K562,replogle2022
PTOV1,1,1,1,1,K562,replogle2022
PYCR1,1,1,1,1,K562,replogle2022
R3HCC1L,1,1,1,1,K562,replogle2022
RAB11FIP5,0,0,0,0,,
RAB5A,1,1,1,1,K562,replogle2022
RABEP2,1,1,1,1,K562,replogle2022
RBM18,1,1,1,1,K562,replogle2022
RBM26,1,1,1,1,K562,replogle2022
RBM4B,1,1,1,1,K562,replogle2022
RBM5,1,1,1,1,K562,replogle2022
RC3H2,1,1,1,1,K562,replogle2022
REV1,1,1,1,1,K562,replogle2022
RFK,1,1,1,1,K562,replogle2022
RNF10,1,1,1,1,K562,replogle2022
RNF141,1,1,1,1,K562,replogle2022
RNF2,2,2,2,2,H1 hESC;K562,replogle2022;vcc2025_h1
RSRC1,1,1,1,1,K562,replogle2022
S100A11,1,1,1,1,K562,replogle2022
SAP30L,1,1,1,1,K562,replogle2022
SCAF8,1,1,1,1,K562,replogle2022
SEMA4F,0,0,0,0,,
SFXN4,1,1,1,1,K562,replogle2022
SH2D3A,1,1,1,1,K562,replogle2022
SHPRH,2,2,2,2,H1 hESC;K562,replogle2022;vcc2025_h1
SIN3B,2,2,2,2,H1 hESC;K562,replogle2022;vcc2025_h1
SLC25A13,1,1,1,1,K562,replogle2022
SLC39A1,1,1,1,1,K562,replogle2022
SLC44A1,0,0,0,0,,
SLIRP,1,1,1,1,K562,replogle2022
SMARCA5,3,3,8,8,A549;BxPC3;H1 hESC;HAP1;HT29;K562;MCF7,jiang2025;replogle2022;vcc2025_h1
SMARCC2,1,1,1,1,K562,replogle2022
SMYD2,1,1,1,1,K562,replogle2022
SND1,1,1,1,1,K562,replogle2022
SNN,0,0,0,0,,
SNRK,2,2,4,4,A172;K562;T98G;U87MG,mcfaline2024;replogle2022
SNX4,1,1,1,1,K562,replogle2022
SOCS5,0,0,0,0,,
SPATA20,0,0,0,0,,
SRSF5,1,1,1,1,K562,replogle2022
SSR4,1,1,1,1,K562,replogle2022
STAT6,3,3,8,8,A549;BxPC3;H1 hESC;HAP1;HT29;K562;MCF7,jiang2025;replogle2022;vcc2025_h1
STK3,2,2,4,4,A172;K562;T98G;U87MG,mcfaline2024;replogle2022
STT3A,1,1,1,1,K562,replogle2022
SUPT7L,1,1,1,1,K562,replogle2022
SYVN1,1,1,1,1,K562,replogle2022
TAF15,1,1,1,1,K562,replogle2022
TAF4,0,0,0,0,,
TARBP2,2,2,2,2,H1 hESC;K562,replogle2022;vcc2025_h1
TBC1D13,1,1,1,1,K562,replogle2022
TBC1D19,0,0,0,0,,
TBCK,2,2,4,4,A172;K562;T98G;U87MG,mcfaline2024;replogle2022
TDRD7,0,0,0,0,,
TEAD4,1,1,1,1,K562,replogle2022
TESK2,1,1,3,3,A172;T98G;U87MG,mcfaline2024
TEX2,1,1,1,1,K562,replogle2022
TFCP2,1,1,1,1,K562,replogle2022
THAP3,1,1,1,1,K562,replogle2022
THAP7,1,1,1,1,K562,replogle2022
TIMM17B,1,1,1,1,K562,replogle2022
TIMM50,1,1,1,1,K562,replogle2022
TMCO6,1,1,1,1,K562,replogle2022
TMED3,1,1,1,1,K562,replogle2022
TMEM104,0,0,0,0,,
TMEM147,1,1,1,1,K562,replogle2022
TMEM186,1,1,1,1,K562,replogle2022
TMEM209,1,1,1,1,K562,replogle2022
TMEM41B,1,1,1,1,K562,replogle2022
TMEM79,0,0,0,0,,
TMF1,1,1,1,1,K562,replogle2022
TRAPPC6A,2,2,2,2,H1 hESC;K562,replogle2022;vcc2025_h1
TRIB3,2,2,4,4,A172;K562;T98G;U87MG,mcfaline2024;replogle2022
TRIM35,1,1,1,1,K562,replogle2022
TRIP4,1,1,1,1,K562,replogle2022
TRMT1,1,1,1,1,K562,replogle2022
TRPC4AP,1,1,1,1,K562,replogle2022
TTBK2,1,1,3,3,A172;T98G;U87MG,mcfaline2024
TWF2,3,3,5,5,A172;H1 hESC;K562;T98G;U87MG,mcfaline2024;replogle2022;vcc2025_h1
TXNDC16,0,0,0,0,,
UNK,1,1,1,1,K562,replogle2022
UPF3B,1,1,1,1,K562,replogle2022
UROS,1,1,1,1,K562,replogle2022
USP28,1,1,1,1,K562,replogle2022
VAPB,1,1,1,1,K562,replogle2022
VIM,1,1,1,1,K562,replogle2022
WBP4,1,1,1,1,K562,replogle2022
YIPF6,1,1,1,1,K562,replogle2022
ZBTB34,1,1,1,1,K562,replogle2022
ZBTB41,1,1,1,1,K562,replogle2022
ZBTB48,1,1,1,1,K562,replogle2022
ZC2HC1A,0,0,0,0,,
ZC3HAV1,1,1,1,1,K562,replogle2022
ZDHHC12,1,1,1,1,K562,replogle2022
ZDHHC4,1,1,1,1,K562,replogle2022
ZFP62,1,1,1,1,K562,replogle2022
ZHX3,1,1,1,1,K562,replogle2022
ZKSCAN1,1,1,1,1,K562,replogle2022
ZKSCAN2,1,1,1,1,K562,replogle2022
ZKSCAN3,1,1,1,1,K562,replogle2022
ZNF16,1,1,1,1,K562,replogle2022
ZNF174,1,1,1,1,K562,replogle2022
ZNF219,1,1,1,1,K562,replogle2022
ZNF22,2,2,7,7,A549;BxPC3;HAP1;HT29;K562;MCF7,jiang2025;replogle2022
ZNF25,1,1,1,1,K562,replogle2022
ZNF251,1,1,1,1,K562,replogle2022
ZNF280C,1,1,1,1,K562,replogle2022
ZNF282,1,1,1,1,K562,replogle2022
ZNF32,1,1,1,1,K562,replogle2022
ZNF324,1,1,1,1,K562,replogle2022
ZNF397,1,1,1,1,K562,replogle2022
ZNF410,1,1,1,1,K562,replogle2022
ZNF444,1,1,1,1,K562,replogle2022
ZNF462,1,1,1,1,K562,replogle2022
ZNF496,1,1,1,1,K562,replogle2022
ZNF507,1,1,1,1,K562,replogle2022
ZNF514,1,1,1,1,K562,replogle2022
ZNF526,1,1,1,1,K562,replogle2022
ZNF530,1,1,1,1,K562,replogle2022
ZNF543,1,1,1,1,K562,replogle2022
ZNF627,1,1,1,1,K562,replogle2022
ZNF628,1,1,1,1,K562,replogle2022
ZNF641,1,1,1,1,K562,replogle2022
ZNF670,1,1,1,1,K562,replogle2022
ZNF714,2,2,2,2,H1 hESC;K562,replogle2022;vcc2025_h1
ZNF740,1,1,1,1,K562,replogle2022
ZNF768,1,1,1,1,K562,replogle2022
ZNF777,1,1,1,1,K562,replogle2022
ZNF783,1,1,1,1,K562,replogle2022
ZNF784,1,1,1,1,K562,replogle2022
ZNF786,1,1,1,1,K562,replogle2022
ZNF821,1,1,1,1,K562,replogle2022
ZRANB3,1,1,1,1,K562,replogle2022
