source_dataset_context,target_dataset_context,source_canonical_context,target_canonical_context,same_canonical_context,same_study,n_shared_perturbations,shared_fraction_source,shared_fraction_target,same_modality,same_or_similar_assay,source_dataset,target_dataset,source_assay_family,target_assay_family,notes
replogle2022::K562,xatlas_orion::HEK293T,K562,HEK293T,False,False,9538,0.9663627152988855,0.5208890830648244,True,True,replogle2022,xatlas_orion,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::K562,nourreddine2024::KOLF2.1J,K562,KOLF2.1J,False,False,8601,0.8714285714285714,0.7359459228202276,True,True,replogle2022,nourreddine2024,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::K562,zhu2026::CD4T,K562,CD4T,False,False,9161,0.9281661600810537,0.7196386488609584,True,True,replogle2022,zhu2026,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::RPE1,nadig2025::HepG2,RPE1,HepG2,False,False,2392,0.9995821145006268,0.9995821145006268,True,True,replogle2022,nadig2025,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::RPE1,nadig2025::Jurkat,RPE1,Jurkat,False,False,2392,0.9995821145006268,0.9995821145006268,True,True,replogle2022,nadig2025,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::RPE1,jiang2025::A549,RPE1,A549,False,False,42,0.017551190973673213,0.1926605504587156,True,False,replogle2022,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::RPE1,jiang2025::MCF7,RPE1,MCF7,False,False,42,0.017551190973673213,0.1926605504587156,True,False,replogle2022,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::RPE1,jiang2025::HT29,RPE1,HT29,False,False,42,0.017551190973673213,0.1926605504587156,True,False,replogle2022,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::RPE1,jiang2025::HAP1,RPE1,HAP1,False,False,42,0.017551190973673213,0.1926605504587156,True,False,replogle2022,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::RPE1,jiang2025::BxPC3,RPE1,BxPC3,False,False,42,0.017551190973673213,0.1926605504587156,True,False,replogle2022,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::RPE1,jiang2025::K562,RPE1,K562,False,False,42,0.017551190973673213,0.1926605504587156,True,False,replogle2022,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::RPE1,mcfaline2024::A172,RPE1,A172,False,False,51,0.02131216046803176,0.09770114942528736,True,False,replogle2022,mcfaline2024,10x_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
replogle2022::RPE1,mcfaline2024::T98G,RPE1,T98G,False,False,51,0.02131216046803176,0.09770114942528736,True,False,replogle2022,mcfaline2024,10x_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
replogle2022::RPE1,mcfaline2024::U87MG,RPE1,U87MG,False,False,51,0.02131216046803176,0.09770114942528736,True,False,replogle2022,mcfaline2024,10x_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
replogle2022::RPE1,xatlas_orion::HCT116,RPE1,HCT116,False,False,2283,0.9540325950689511,0.12480183676816269,True,True,replogle2022,xatlas_orion,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::RPE1,xatlas_orion::HEK293T,RPE1,HEK293T,False,False,2280,0.9527789385708316,0.1245153186609142,True,True,replogle2022,xatlas_orion,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::RPE1,nourreddine2024::KOLF2.1J,RPE1,KOLF2.1J,False,False,2159,0.9022147931466779,0.18473517583639942,True,True,replogle2022,nourreddine2024,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
replogle2022::RPE1,zhu2026::CD4T,RPE1,CD4T,False,False,2189,0.914751358127873,0.17195600942655145,True,True,replogle2022,zhu2026,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::HepG2,nadig2025::Jurkat,HepG2,Jurkat,False,True,2392,0.9995821145006268,0.9995821145006268,True,True,nadig2025,nadig2025,10x_Perturb-seq,10x_Perturb-seq,Within-study biological-context bridge.
nadig2025::HepG2,jiang2025::A549,HepG2,A549,False,False,42,0.017551190973673213,0.1926605504587156,True,False,nadig2025,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::HepG2,jiang2025::MCF7,HepG2,MCF7,False,False,42,0.017551190973673213,0.1926605504587156,True,False,nadig2025,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::HepG2,jiang2025::HT29,HepG2,HT29,False,False,42,0.017551190973673213,0.1926605504587156,True,False,nadig2025,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::HepG2,jiang2025::HAP1,HepG2,HAP1,False,False,42,0.017551190973673213,0.1926605504587156,True,False,nadig2025,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::HepG2,jiang2025::BxPC3,HepG2,BxPC3,False,False,42,0.017551190973673213,0.1926605504587156,True,False,nadig2025,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::HepG2,jiang2025::K562,HepG2,K562,False,False,42,0.017551190973673213,0.1926605504587156,True,False,nadig2025,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::HepG2,mcfaline2024::A172,HepG2,A172,False,False,51,0.02131216046803176,0.09770114942528736,True,False,nadig2025,mcfaline2024,10x_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
nadig2025::HepG2,mcfaline2024::T98G,HepG2,T98G,False,False,51,0.02131216046803176,0.09770114942528736,True,False,nadig2025,mcfaline2024,10x_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
nadig2025::HepG2,mcfaline2024::U87MG,HepG2,U87MG,False,False,51,0.02131216046803176,0.09770114942528736,True,False,nadig2025,mcfaline2024,10x_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
nadig2025::HepG2,xatlas_orion::HCT116,HepG2,HCT116,False,False,2283,0.9540325950689511,0.12480183676816269,True,True,nadig2025,xatlas_orion,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::HepG2,xatlas_orion::HEK293T,HepG2,HEK293T,False,False,2281,0.9531968240702048,0.12456993064278303,True,True,nadig2025,xatlas_orion,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::HepG2,nourreddine2024::KOLF2.1J,HepG2,KOLF2.1J,False,False,2159,0.9022147931466779,0.18473517583639942,True,True,nadig2025,nourreddine2024,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::HepG2,zhu2026::CD4T,HepG2,CD4T,False,False,2189,0.914751358127873,0.17195600942655145,True,True,nadig2025,zhu2026,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::Jurkat,jiang2025::A549,Jurkat,A549,False,False,42,0.017551190973673213,0.1926605504587156,True,False,nadig2025,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::Jurkat,jiang2025::MCF7,Jurkat,MCF7,False,False,42,0.017551190973673213,0.1926605504587156,True,False,nadig2025,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::Jurkat,jiang2025::HT29,Jurkat,HT29,False,False,42,0.017551190973673213,0.1926605504587156,True,False,nadig2025,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::Jurkat,jiang2025::HAP1,Jurkat,HAP1,False,False,42,0.017551190973673213,0.1926605504587156,True,False,nadig2025,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::Jurkat,jiang2025::BxPC3,Jurkat,BxPC3,False,False,42,0.017551190973673213,0.1926605504587156,True,False,nadig2025,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::Jurkat,jiang2025::K562,Jurkat,K562,False,False,42,0.017551190973673213,0.1926605504587156,True,False,nadig2025,jiang2025,10x_Perturb-seq,Parse_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::Jurkat,mcfaline2024::A172,Jurkat,A172,False,False,51,0.02131216046803176,0.09770114942528736,True,False,nadig2025,mcfaline2024,10x_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
nadig2025::Jurkat,mcfaline2024::T98G,Jurkat,T98G,False,False,51,0.02131216046803176,0.09770114942528736,True,False,nadig2025,mcfaline2024,10x_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
nadig2025::Jurkat,mcfaline2024::U87MG,Jurkat,U87MG,False,False,51,0.02131216046803176,0.09770114942528736,True,False,nadig2025,mcfaline2024,10x_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
nadig2025::Jurkat,xatlas_orion::HCT116,Jurkat,HCT116,False,False,2283,0.9540325950689511,0.12480183676816269,True,True,nadig2025,xatlas_orion,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::Jurkat,xatlas_orion::HEK293T,Jurkat,HEK293T,False,False,2280,0.9527789385708316,0.1245153186609142,True,True,nadig2025,xatlas_orion,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::Jurkat,nourreddine2024::KOLF2.1J,Jurkat,KOLF2.1J,False,False,2159,0.9022147931466779,0.18473517583639942,True,True,nadig2025,nourreddine2024,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
nadig2025::Jurkat,zhu2026::CD4T,Jurkat,CD4T,False,False,2190,0.9151692436272462,0.1720345640219953,True,True,nadig2025,zhu2026,10x_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::A549,jiang2025::MCF7,A549,MCF7,False,True,218,1.0,1.0,True,True,jiang2025,jiang2025,Parse_Perturb-seq,Parse_Perturb-seq,Within-study biological-context bridge.
jiang2025::A549,jiang2025::HT29,A549,HT29,False,True,218,1.0,1.0,True,True,jiang2025,jiang2025,Parse_Perturb-seq,Parse_Perturb-seq,Within-study biological-context bridge.
jiang2025::A549,jiang2025::HAP1,A549,HAP1,False,True,218,1.0,1.0,True,True,jiang2025,jiang2025,Parse_Perturb-seq,Parse_Perturb-seq,Within-study biological-context bridge.
jiang2025::A549,jiang2025::BxPC3,A549,BxPC3,False,True,218,1.0,1.0,True,True,jiang2025,jiang2025,Parse_Perturb-seq,Parse_Perturb-seq,Within-study biological-context bridge.
jiang2025::A549,jiang2025::K562,A549,K562,False,True,218,1.0,1.0,True,True,jiang2025,jiang2025,Parse_Perturb-seq,Parse_Perturb-seq,Within-study biological-context bridge.
jiang2025::A549,mcfaline2024::A172,A549,A172,False,False,27,0.12385321100917432,0.05172413793103448,True,False,jiang2025,mcfaline2024,Parse_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
jiang2025::A549,mcfaline2024::T98G,A549,T98G,False,False,27,0.12385321100917432,0.05172413793103448,True,False,jiang2025,mcfaline2024,Parse_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
jiang2025::A549,mcfaline2024::U87MG,A549,U87MG,False,False,27,0.12385321100917432,0.05172413793103448,True,False,jiang2025,mcfaline2024,Parse_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
jiang2025::A549,xatlas_orion::HCT116,A549,HCT116,False,False,215,0.9862385321100917,0.011753129612420051,True,False,jiang2025,xatlas_orion,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::A549,xatlas_orion::HEK293T,A549,HEK293T,False,False,215,0.9862385321100917,0.011741576101796734,True,False,jiang2025,xatlas_orion,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::A549,nourreddine2024::KOLF2.1J,A549,KOLF2.1J,False,False,200,0.9174311926605505,0.017113031573543252,True,False,jiang2025,nourreddine2024,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::A549,zhu2026::CD4T,A549,CD4T,False,False,213,0.9770642201834863,0.01673212882953653,True,False,jiang2025,zhu2026,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::MCF7,jiang2025::HT29,MCF7,HT29,False,True,218,1.0,1.0,True,True,jiang2025,jiang2025,Parse_Perturb-seq,Parse_Perturb-seq,Within-study biological-context bridge.
jiang2025::MCF7,jiang2025::HAP1,MCF7,HAP1,False,True,218,1.0,1.0,True,True,jiang2025,jiang2025,Parse_Perturb-seq,Parse_Perturb-seq,Within-study biological-context bridge.
jiang2025::MCF7,jiang2025::BxPC3,MCF7,BxPC3,False,True,218,1.0,1.0,True,True,jiang2025,jiang2025,Parse_Perturb-seq,Parse_Perturb-seq,Within-study biological-context bridge.
jiang2025::MCF7,jiang2025::K562,MCF7,K562,False,True,218,1.0,1.0,True,True,jiang2025,jiang2025,Parse_Perturb-seq,Parse_Perturb-seq,Within-study biological-context bridge.
jiang2025::MCF7,mcfaline2024::A172,MCF7,A172,False,False,27,0.12385321100917432,0.05172413793103448,True,False,jiang2025,mcfaline2024,Parse_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
jiang2025::MCF7,mcfaline2024::T98G,MCF7,T98G,False,False,27,0.12385321100917432,0.05172413793103448,True,False,jiang2025,mcfaline2024,Parse_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
jiang2025::MCF7,mcfaline2024::U87MG,MCF7,U87MG,False,False,27,0.12385321100917432,0.05172413793103448,True,False,jiang2025,mcfaline2024,Parse_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
jiang2025::MCF7,xatlas_orion::HCT116,MCF7,HCT116,False,False,215,0.9862385321100917,0.011753129612420051,True,False,jiang2025,xatlas_orion,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::MCF7,xatlas_orion::HEK293T,MCF7,HEK293T,False,False,215,0.9862385321100917,0.011741576101796734,True,False,jiang2025,xatlas_orion,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::MCF7,nourreddine2024::KOLF2.1J,MCF7,KOLF2.1J,False,False,200,0.9174311926605505,0.017113031573543252,True,False,jiang2025,nourreddine2024,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::MCF7,zhu2026::CD4T,MCF7,CD4T,False,False,213,0.9770642201834863,0.01673212882953653,True,False,jiang2025,zhu2026,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::HT29,jiang2025::HAP1,HT29,HAP1,False,True,218,1.0,1.0,True,True,jiang2025,jiang2025,Parse_Perturb-seq,Parse_Perturb-seq,Within-study biological-context bridge.
jiang2025::HT29,jiang2025::BxPC3,HT29,BxPC3,False,True,218,1.0,1.0,True,True,jiang2025,jiang2025,Parse_Perturb-seq,Parse_Perturb-seq,Within-study biological-context bridge.
jiang2025::HT29,jiang2025::K562,HT29,K562,False,True,218,1.0,1.0,True,True,jiang2025,jiang2025,Parse_Perturb-seq,Parse_Perturb-seq,Within-study biological-context bridge.
jiang2025::HT29,mcfaline2024::A172,HT29,A172,False,False,27,0.12385321100917432,0.05172413793103448,True,False,jiang2025,mcfaline2024,Parse_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
jiang2025::HT29,mcfaline2024::T98G,HT29,T98G,False,False,27,0.12385321100917432,0.05172413793103448,True,False,jiang2025,mcfaline2024,Parse_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
jiang2025::HT29,mcfaline2024::U87MG,HT29,U87MG,False,False,27,0.12385321100917432,0.05172413793103448,True,False,jiang2025,mcfaline2024,Parse_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
jiang2025::HT29,xatlas_orion::HCT116,HT29,HCT116,False,False,215,0.9862385321100917,0.011753129612420051,True,False,jiang2025,xatlas_orion,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::HT29,xatlas_orion::HEK293T,HT29,HEK293T,False,False,215,0.9862385321100917,0.011741576101796734,True,False,jiang2025,xatlas_orion,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::HT29,nourreddine2024::KOLF2.1J,HT29,KOLF2.1J,False,False,200,0.9174311926605505,0.017113031573543252,True,False,jiang2025,nourreddine2024,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::HT29,zhu2026::CD4T,HT29,CD4T,False,False,213,0.9770642201834863,0.01673212882953653,True,False,jiang2025,zhu2026,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::HAP1,jiang2025::BxPC3,HAP1,BxPC3,False,True,218,1.0,1.0,True,True,jiang2025,jiang2025,Parse_Perturb-seq,Parse_Perturb-seq,Within-study biological-context bridge.
jiang2025::HAP1,jiang2025::K562,HAP1,K562,False,True,218,1.0,1.0,True,True,jiang2025,jiang2025,Parse_Perturb-seq,Parse_Perturb-seq,Within-study biological-context bridge.
jiang2025::HAP1,mcfaline2024::A172,HAP1,A172,False,False,27,0.12385321100917432,0.05172413793103448,True,False,jiang2025,mcfaline2024,Parse_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
jiang2025::HAP1,mcfaline2024::T98G,HAP1,T98G,False,False,27,0.12385321100917432,0.05172413793103448,True,False,jiang2025,mcfaline2024,Parse_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
jiang2025::HAP1,mcfaline2024::U87MG,HAP1,U87MG,False,False,27,0.12385321100917432,0.05172413793103448,True,False,jiang2025,mcfaline2024,Parse_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
jiang2025::HAP1,xatlas_orion::HCT116,HAP1,HCT116,False,False,215,0.9862385321100917,0.011753129612420051,True,False,jiang2025,xatlas_orion,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::HAP1,xatlas_orion::HEK293T,HAP1,HEK293T,False,False,215,0.9862385321100917,0.011741576101796734,True,False,jiang2025,xatlas_orion,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::HAP1,nourreddine2024::KOLF2.1J,HAP1,KOLF2.1J,False,False,200,0.9174311926605505,0.017113031573543252,True,False,jiang2025,nourreddine2024,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::HAP1,zhu2026::CD4T,HAP1,CD4T,False,False,213,0.9770642201834863,0.01673212882953653,True,False,jiang2025,zhu2026,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::BxPC3,jiang2025::K562,BxPC3,K562,False,True,218,1.0,1.0,True,True,jiang2025,jiang2025,Parse_Perturb-seq,Parse_Perturb-seq,Within-study biological-context bridge.
jiang2025::BxPC3,mcfaline2024::A172,BxPC3,A172,False,False,27,0.12385321100917432,0.05172413793103448,True,False,jiang2025,mcfaline2024,Parse_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
jiang2025::BxPC3,mcfaline2024::T98G,BxPC3,T98G,False,False,27,0.12385321100917432,0.05172413793103448,True,False,jiang2025,mcfaline2024,Parse_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
jiang2025::BxPC3,mcfaline2024::U87MG,BxPC3,U87MG,False,False,27,0.12385321100917432,0.05172413793103448,True,False,jiang2025,mcfaline2024,Parse_Perturb-seq,sci-Plex-GxE,Cross-study and cross-context perturbation bridge.
jiang2025::BxPC3,xatlas_orion::HCT116,BxPC3,HCT116,False,False,215,0.9862385321100917,0.011753129612420051,True,False,jiang2025,xatlas_orion,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
jiang2025::BxPC3,xatlas_orion::HEK293T,BxPC3,HEK293T,False,False,215,0.9862385321100917,0.011741576101796734,True,False,jiang2025,xatlas_orion,Parse_Perturb-seq,10x_Perturb-seq,Cross-study and cross-context perturbation bridge.
