target_gene,vcc2025_h1,replogle2022__K562,replogle2022__RPE1,nadig2025__HepG2,nadig2025__Jurkat,jiang2025__A549,jiang2025__MCF7,jiang2025__HT29,jiang2025__HAP1,jiang2025__BxPC3,jiang2025__K562,mcfaline2024__A172,mcfaline2024__T98G,mcfaline2024__U87MG,xatlas_orion__HCT116,xatlas_orion__HEK293T,nourreddine2024__KOLF2.1J,zhu2026__CD4T
CARM1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
CAT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
CCDC112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
CDK8,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
CHD3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
CHD6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
CHKB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
CLCN6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
COIL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
COMMD8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
COQ10B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
CSNK2A1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
CYTH2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
DBF4B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
DBN1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
DCAF16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
DCP2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
DDHD1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
DEAF1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
DEK,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
DHRS1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
DHX35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
DLAT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
DMTF1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
DNTTIP1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
DRG2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
DTNBP1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
DVL3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
E2F1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
E2F4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
EAPP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
EEF1A2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ELK1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1
EPC2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
EPHB2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
EPM2AIP1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
EZH2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
FAM120A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
FCGRT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
FHL3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
FOXN2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
FOXO4,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1
FUBP3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
FXYD5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
FZD2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
GIGYF2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
GLI3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
GLYR1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
GMEB2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
GPATCH8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
GRAMD1A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
GTF2IRD1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
HDAC1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
HDAC8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
HEATR6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
HMGN3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
HMGN4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
HMGXB3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
HOMEZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
HSBP1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
HSP90AB1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
IFI27L2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
IFNAR2,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1
IFNGR2,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
IL10RB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
IREB2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
KDM5A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
KHDRBS1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
KHSRP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
KIF21B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
KIF2A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
KMT2A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
LDLR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
LENG1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
LMAN1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
LMBRD2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
LPCAT3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
MAN2A1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
MAP2K2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
MAPK12,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
MAPK7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
MARCKSL1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
MBD4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
MED13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
MED15,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1
MED25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
MLKL,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
MLLT10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
MSANTD4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
MSI2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
MTA1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
MTF1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1
MTHFSD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
MTM1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
MYD88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
MYPOP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
MYRF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NABP2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NAIF1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NCLN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NFE2L1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NGLY1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NICN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NIPAL3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NIPSNAP3A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NT5DC1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NUP37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PAN2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PAPOLA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PARP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PATL1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PBLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
PCGF1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PCGF6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PDCD4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PDE6D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PDK1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
PDK3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
PGLS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PHF11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PHF19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PHF23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PHF8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PI4KB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PIM2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
PIN1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PINK1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
PKN3,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
PLAGL2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PLCG1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PNP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
POLD4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
POR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PPIF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PPIP5K2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PQBP1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PRDX3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PRKAB2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PRKACA,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
PRMT2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PRMT6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PRMT7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PRNP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PSKH1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
PSMB9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
PTMS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PTOV1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PYCR1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
R3HCC1L,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
RAB11FIP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
RAB5A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
RABEP2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
RBM18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
RBM26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
RBM4B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
RBM5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
RC3H2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
REV1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
RFK,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
RNF10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
RNF141,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
RNF2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
RSRC1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
S100A11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SAP30L,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SCAF8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SEMA4F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SFXN4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SH2D3A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SHPRH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SIN3B,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SLC25A13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SLC39A1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SLC44A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SLIRP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SMARCA5,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1
SMARCC2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SMYD2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SND1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SNRK,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
SNX4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SOCS5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SPATA20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SRSF5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SSR4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
STAT6,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1
STK3,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
STT3A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SUPT7L,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
SYVN1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TAF15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TAF4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TARBP2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TBC1D13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TBC1D19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
TBCK,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
TDRD7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TEAD4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TESK2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
TEX2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TFCP2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
THAP3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
THAP7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TIMM17B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TIMM50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TMCO6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TMED3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TMEM104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TMEM147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TMEM186,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TMEM209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TMEM41B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TMEM79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TMF1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TRAPPC6A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TRIB3,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
TRIM35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TRIP4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
TRMT1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TRPC4AP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TTBK2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
TWF2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
TXNDC16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
UNK,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
UPF3B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
UROS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
USP28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
VAPB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
VIM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
WBP4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
YIPF6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZBTB34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZBTB41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZBTB48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZC2HC1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ZC3HAV1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZDHHC12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZDHHC4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZFP62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZHX3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZKSCAN1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZKSCAN2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZKSCAN3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF174,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF219,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF22,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1
ZNF25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF251,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF280C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF282,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF324,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF397,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF410,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF444,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF462,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF496,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF507,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF514,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF526,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF530,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF543,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF627,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF628,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF641,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF670,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF714,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF740,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF768,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF777,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF783,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF784,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF786,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZNF821,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ZRANB3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
