cell_id,context,ntc_id,total_counts,n_genes_by_counts,pct_counts_mt,good_turing_unseen_pct
A_ctrl_000053,A,non-targeting-11,49819.0,8065,0.10839239,3.446476244003292
A_ctrl_000054,A,non-targeting-11,18465.0,5758,0.24911997,11.746547522339561
A_ctrl_000055,A,non-targeting-11,34297.0,7245,1.1050528,5.650639997667435
A_ctrl_000056,A,non-targeting-11,29230.0,6879,0.16763599,7.28703386931235
A_ctrl_000057,A,non-targeting-11,30165.0,7149,0.5105254,6.928559588927565
A_ctrl_000058,A,non-targeting-11,11711.0,4850,0.16224062,19.97267526257365
A_ctrl_000059,A,non-targeting-11,21126.0,6352,0.14673862,10.939127141910442
A_ctrl_000060,A,non-targeting-11,46195.0,7954,0.15586102,3.9246671717718367
A_ctrl_000061,A,non-targeting-11,33758.0,7466,0.1747734,6.120030807512293
A_ctrl_000062,A,non-targeting-11,24127.0,6488,0.3937497,9.12670452190492
A_ctrl_000063,A,non-targeting-11,7578.0,3884,0.6730008,29.6648192135128
A_ctrl_000064,A,non-targeting-11,12830.0,4992,0.5611847,17.825409197194077
A_ctrl_000065,A,non-targeting-11,16543.0,5645,0.3082875,13.758084990630477
A_ctrl_000066,A,non-targeting-11,27195.0,7019,0.23901454,8.060305203162345
A_ctrl_000067,A,non-targeting-11,5389.0,3065,0.2041195,36.29615884208573
A_ctrl_000068,A,non-targeting-11,14245.0,5203,1.0249211,16.033696033696035
A_ctrl_000069,A,non-targeting-11,8397.0,3998,0.85744905,25.985471001548174
A_ctrl_000070,A,non-targeting-11,35769.0,7401,0.57591766,5.367776566300428
A_ctrl_000071,A,non-targeting-11,41411.0,7744,0.40085968,4.170389510033566
A_ctrl_000072,A,non-targeting-11,15708.0,5561,0.08912656,15.005092946269416
A_ctrl_000073,A,non-targeting-11,21783.0,6209,0.2800349,10.375063122618556
A_ctrl_000074,A,non-targeting-11,16176.0,5814,0.90875375,15.405539070227498
A_ctrl_000075,A,non-targeting-11,11103.0,4621,0.7925786,20.940286409078627
A_ctrl_000076,A,non-targeting-11,8387.0,3933,0.28615716,24.478359365684987
A_ctrl_000077,A,non-targeting-11,21668.0,6277,0.09230201,10.379361270075687
A_ctrl_000078,A,non-targeting-11,20078.0,6083,0.25898993,11.574858053590996
A_ctrl_000079,A,non-targeting-11,16951.0,5962,0.0412955,14.577311073093032
A_ctrl_000080,A,non-targeting-11,16687.0,5783,0.1618026,14.400431473602206
A_ctrl_000081,A,non-targeting-11,15698.0,5225,0.15288572,13.829787234042554
A_ctrl_000082,A,non-targeting-11,25329.0,6799,0.08685697,8.788345374866754
A_ctrl_000083,A,non-targeting-11,24940.0,6465,0.34081796,8.30793905372895
A_ctrl_000084,A,non-targeting-11,7604.0,3907,0.14466071,30.16833245660179
A_ctrl_000085,A,non-targeting-11,13681.0,5391,0.18273517,17.6960748483298
A_ctrl_000086,A,non-targeting-11,9841.0,4472,0.23371607,23.188700335331774
A_ctrl_000087,A,non-targeting-11,10084.0,4497,0.4264181,23.006743355811185
A_ctrl_000088,A,non-targeting-11,17536.0,5617,1.7620895,12.916286496350365
A_ctrl_000089,A,non-targeting-11,30019.0,6807,0.17988607,6.592491422099337
A_ctrl_000090,A,non-targeting-11,15958.0,5546,0.4574508,14.519363328737937
A_ctrl_000091,A,non-targeting-11,19044.0,6075,0.28355387,12.402856542743121
A_ctrl_000092,A,non-targeting-11,14879.0,5361,0.2553935,15.834397472948451
A_ctrl_000093,A,non-targeting-11,23922.0,6529,0.25081515,9.28434077418276
A_ctrl_000094,A,non-targeting-11,18753.0,6140,0.17063937,12.541993281075028
A_ctrl_000095,A,non-targeting-11,7640.0,3849,0.9554974,28.115183246073297
A_ctrl_000096,A,non-targeting-11,14458.0,5367,0.3527459,16.23322727901508
A_ctrl_000097,A,non-targeting-11,21769.0,6182,0.8911755,10.372548118884653
A_ctrl_000098,A,non-targeting-11,21997.0,6340,0.18638906,10.069554939309906
A_ctrl_000099,A,non-targeting-11,19699.0,6329,0.152292,12.00568556779532
A_ctrl_000100,A,non-targeting-11,34857.0,7307,0.527871,5.846745273546203
A_ctrl_000101,A,non-targeting-11,16064.0,5659,0.29257968,14.33640438247012
A_ctrl_000102,A,non-targeting-11,19693.0,6108,0.09140304,11.5675620778957
A_ctrl_000103,A,non-targeting-11,16044.0,5464,0.16205436,14.036399900274246
A_ctrl_000104,A,non-targeting-11,28335.0,6784,0.28586552,7.22075172048703
A_ctrl_000105,A,non-targeting-11,20841.0,6115,0.9020681,10.407370087807687
A_ctrl_000106,A,non-targeting-11,9519.0,4195,0.08404244,23.048639562979304
A_ctrl_000107,A,non-targeting-11,29512.0,7167,0.5760369,7.15302249932231
A_ctrl_000108,A,non-targeting-11,24326.0,6622,0.27131465,8.982159006823974
A_ctrl_000109,A,non-targeting-11,7268.0,3632,0.34397358,28.64611997798569
A_ctrl_000110,A,non-targeting-11,8091.0,3940,0.35842294,27.487331603015697
A_ctrl_000111,A,non-targeting-11,7990.0,4119,1.3767209,29.374217772215268
A_ctrl_000112,A,non-targeting-11,8111.0,4090,0.9739859,27.962026877080508
A_ctrl_000113,A,non-targeting-11,5980.0,3344,0.06688963,34.94983277591973
A_ctrl_000114,A,non-targeting-11,6288.0,3515,0.47709924,34.9236641221374
A_ctrl_000115,A,non-targeting-11,8385.0,4057,0.5008945,26.249254621347646
A_ctrl_000116,A,non-targeting-11,3883.0,2519,0.23177955,45.660571722894666
A_ctrl_000117,A,non-targeting-11,5035.0,3075,0.039721947,40.973187686196624
A_ctrl_000118,A,non-targeting-11,6817.0,3523,0.22003813,30.893354848173683
A_ctrl_000119,A,non-targeting-11,6876.0,3722,0.11634672,32.62070971495055
A_ctrl_000120,A,non-targeting-11,4627.0,2909,0.30257186,42.92197968446077
A_ctrl_000121,A,non-targeting-11,16674.0,5892,0.581744,14.873455679501019
A_ctrl_000122,A,non-targeting-11,4420.0,2735,0.520362,42.60180995475113
A_ctrl_000123,A,non-targeting-11,11084.0,4609,0.072176106,20.40779501984843
A_ctrl_000124,A,non-targeting-11,35597.0,7488,0.11517824,5.508891198696519
A_ctrl_000125,A,non-targeting-11,11763.0,4802,0.3570518,19.60384255717079
A_ctrl_000126,A,non-targeting-11,12855.0,5013,1.1901984,18.66199922209257
A_ctrl_000127,A,non-targeting-11,11773.0,4894,0.95982325,19.94393952263654
A_ctrl_000128,A,non-targeting-11,8976.0,4285,0.67959005,25.36764705882353
A_ctrl_000129,A,non-targeting-11,19123.0,6069,1.0772368,11.807770747267687
A_ctrl_000130,A,non-targeting-11,7060.0,3751,0.042492915,31.13314447592068
A_ctrl_000131,A,non-targeting-11,9381.0,4387,0.8421277,24.9333759727108
A_ctrl_000132,A,non-targeting-11,10969.0,4736,0.21879843,21.688394566505607
A_ctrl_000133,A,non-targeting-11,11557.0,4790,0.2422774,20.35130224106602
A_ctrl_000134,A,non-targeting-11,12525.0,4992,0.4311377,18.570858283433132
A_ctrl_000135,A,non-targeting-11,20781.0,6105,0.21173188,10.933063856407296
A_ctrl_000136,A,non-targeting-11,17013.0,6099,0.023511432,14.965026744254393
A_ctrl_000137,A,non-targeting-11,14884.0,5640,0.32921258,16.091104541789843
A_ctrl_000138,A,non-targeting-11,24953.0,6513,0.4969342,8.576123111449526
A_ctrl_000139,A,non-targeting-11,11165.0,4679,0.26869684,20.44782803403493
A_ctrl_000140,A,non-targeting-11,26805.0,7120,0.20145494,8.476030591307591
A_ctrl_000141,A,non-targeting-11,33659.0,7333,0.5020945,6.268754270774533
A_ctrl_000142,A,non-targeting-11,19693.0,6105,0.11171482,11.66912100746458
A_ctrl_000143,A,non-targeting-11,31269.0,7345,0.26543862,6.690332277974991
A_ctrl_000144,A,non-targeting-11,22141.0,6149,0.31615555,9.873086129804435
A_ctrl_000145,A,non-targeting-11,47965.0,8045,0.26060668,3.7548212238090275
A_ctrl_000146,A,non-targeting-11,33202.0,7114,0.21685441,5.999638575989398
A_ctrl_000147,A,non-targeting-11,25235.0,6639,0.10699425,8.959778085991678
A_ctrl_000148,A,non-targeting-11,18597.0,6189,0.032263268,13.109641340001076
A_ctrl_000149,A,non-targeting-11,11234.0,4676,0.64981306,19.921666369948372
A_ctrl_000150,A,non-targeting-11,19230.0,6134,0.15080604,11.882475299011961
A_ctrl_000151,A,non-targeting-11,17105.0,5774,0.111078635,13.97252265419468
A_ctrl_000152,A,non-targeting-11,12543.0,5104,0.19931437,18.934864067607432
A_ctrl_000153,A,non-targeting-11,26722.0,6715,0.1721428,8.348925978594417
A_ctrl_000154,A,non-targeting-11,16549.0,5866,0.2477491,14.925373134328359
A_ctrl_000155,A,non-targeting-11,24239.0,6476,0.41255826,8.956640125417715
A_ctrl_000156,A,non-targeting-11,15282.0,5125,0.22902761,13.839811542991756
A_ctrl_000157,A,non-targeting-11,26321.0,6422,0.6990616,7.241366209490521
A_ctrl_000158,A,non-targeting-11,13997.0,5033,0.52154034,15.867685932699864
A_ctrl_000159,A,non-targeting-11,42167.0,7769,0.36521453,4.2141959352099985
A_ctrl_000160,A,non-targeting-11,14247.0,5218,1.1300625,15.5120376219555
A_ctrl_000161,A,non-targeting-11,14337.0,5316,0.20924878,15.735509520820255
A_ctrl_000162,A,non-targeting-11,29039.0,6906,0.49244118,7.217879403560729
A_ctrl_000163,A,non-targeting-11,23657.0,6486,0.122585274,9.730735088980007
A_ctrl_000164,A,non-targeting-11,29058.0,7223,0.87411386,7.58138894624544
A_ctrl_000165,A,non-targeting-11,25078.0,6557,0.10766409,8.987957572374192
A_ctrl_000166,A,non-targeting-11,32942.0,7052,1.0351527,6.14413211098294
A_ctrl_000167,A,non-targeting-11,29925.0,6903,0.8153718,6.693400167084378
A_ctrl_000168,A,non-targeting-11,9935.0,4496,0.19124307,23.26119778560644
A_ctrl_000169,A,non-targeting-11,21492.0,6418,0.065140516,10.980830076307463
A_ctrl_000170,A,non-targeting-11,24225.0,6492,0.19401444,9.126934984520124
A_ctrl_000171,A,non-targeting-11,9921.0,4458,0.3124685,23.42505795786715
A_ctrl_000172,A,non-targeting-11,28421.0,7023,0.76351994,7.596495549065832
A_ctrl_000173,A,non-targeting-11,22169.0,6506,0.50069916,10.361315350263881
A_ctrl_000174,A,non-targeting-11,29683.0,6749,0.26277667,6.38075666206246
A_ctrl_000175,A,non-targeting-11,27810.0,7081,0.15462065,7.82811938151744
A_ctrl_000176,A,non-targeting-11,21839.0,6307,0.19689547,10.591144283163148
A_ctrl_000177,A,non-targeting-11,14519.0,5629,1.0055789,17.501205317170605
A_ctrl_000178,A,non-targeting-11,17444.0,5632,0.63632196,12.445540013758313
A_ctrl_000179,A,non-targeting-11,26659.0,6668,0.20630932,7.80599422333921
A_ctrl_000180,A,non-targeting-11,34044.0,7341,0.29080015,5.827752320526377
A_ctrl_000181,A,non-targeting-11,38517.0,7617,0.52444375,5.067892099592388
A_ctrl_000182,A,non-targeting-11,45238.0,8025,0.25421107,4.3149564525399
A_ctrl_000183,A,non-targeting-11,5122.0,3057,0.03904725,39.80866848887153
A_ctrl_000184,A,non-targeting-11,10107.0,4531,0.45513013,23.231423765706936
A_ctrl_000185,A,non-targeting-11,26589.0,6725,0.84245366,8.217684004663584
A_ctrl_000186,A,non-targeting-11,21851.0,6193,0.13271704,10.054459750125853
A_ctrl_000187,A,non-targeting-11,22070.0,6275,0.07702764,9.78704123244223
A_ctrl_000188,A,non-targeting-11,28897.0,7116,0.10381701,7.454060975187736
A_ctrl_000189,A,non-targeting-11,6853.0,3540,0.1167372,30.01605136436597
A_ctrl_000190,A,non-targeting-11,19079.0,5858,0.18344776,11.572933591907333
A_ctrl_000191,A,non-targeting-11,23443.0,6631,0.8019451,9.806765345732202
A_ctrl_000192,A,non-targeting-11,16689.0,5696,0.4673737,13.847444424471208
A_ctrl_000193,A,non-targeting-11,36813.0,6984,0.6926901,4.952054980577514
A_ctrl_000194,A,non-targeting-11,16447.0,5721,0.18848422,14.130236517297988
A_ctrl_000195,A,non-targeting-11,19094.0,5880,0.07855871,11.909500366607311
A_ctrl_000196,A,non-targeting-11,26947.0,6864,0.092774704,8.101087319553198
A_ctrl_000197,A,non-targeting-11,21891.0,6250,0.23297246,10.278196519117445
A_ctrl_000198,A,non-targeting-11,3721.0,2505,0.48374093,48.32034399355012
A_ctrl_000199,A,non-targeting-11,19980.0,5978,0.5555556,11.296296296296296
A_ctrl_000200,A,non-targeting-11,15942.0,5567,0.38263708,14.402208004014552
A_ctrl_000201,A,non-targeting-11,15069.0,5656,0.43798527,16.729710000663616
A_ctrl_000202,A,non-targeting-11,27324.0,6846,0.28180355,7.747767530376226
A_ctrl_000203,A,non-targeting-11,8025.0,3964,0.26168224,27.77570093457944
A_ctrl_000204,A,non-targeting-11,22446.0,6419,0.6905462,9.970596097300188
A_ctrl_000205,A,non-targeting-11,10575.0,4677,0.501182,22.22222222222222
A_ctrl_000206,A,non-targeting-11,22013.0,6406,0.13174035,10.507427429246354
A_ctrl_000207,A,non-targeting-11,13583.0,5149,0.09570787,17.367297356990356
A_ctrl_000208,A,non-targeting-11,10987.0,4638,1.1195049,20.615272594884864
A_ctrl_000209,A,non-targeting-11,19097.0,5791,0.62837094,11.682463214117401
A_ctrl_000210,A,non-targeting-11,26547.0,6785,0.25991637,8.1327456963122
A_ctrl_000211,A,non-targeting-11,25861.0,6600,0.100537494,8.360078883260508
A_ctrl_000212,A,non-targeting-11,13449.0,5172,0.4833073,17.287530671425383
A_ctrl_000213,A,non-targeting-11,17875.0,5849,0.21258742,13.029370629370629
A_ctrl_000214,A,non-targeting-11,39980.0,7890,0.25012508,5.01000500250125
A_ctrl_000215,A,non-targeting-11,38821.0,7469,0.19834626,4.948352695705933
A_ctrl_000216,A,non-targeting-11,18841.0,5886,0.1220742,11.846504962581603
A_ctrl_000217,A,non-targeting-11,34965.0,7428,0.06006006,5.777205777205777
A_ctrl_000218,A,non-targeting-11,28082.0,6734,0.292002,7.399757852004843
A_ctrl_000219,A,non-targeting-11,30406.0,7015,0.10195356,6.883509833585476
A_ctrl_000220,A,non-targeting-11,45478.0,8004,0.18250583,3.962355424600906
A_ctrl_000221,A,non-targeting-11,25307.0,6553,0.04741771,8.392934761133283
A_ctrl_000222,A,non-targeting-11,15055.0,5515,0.059780806,15.602789770840252
A_ctrl_000223,A,non-targeting-11,22173.0,6300,0.24353944,9.85432733504713
A_ctrl_000224,A,non-targeting-11,18204.0,5799,1.730389,12.310481212920237
A_ctrl_000225,A,non-targeting-11,23828.0,6589,0.104918584,9.45945945945946
A_ctrl_000226,A,non-targeting-11,15658.0,5469,0.08941116,14.695363392515008
A_ctrl_000227,A,non-targeting-11,24629.0,6348,0.17865118,8.25043647732348
A_ctrl_000228,A,non-targeting-11,16118.0,5526,0.6452413,13.934731356247674
A_ctrl_000229,A,non-targeting-11,31436.0,7040,0.022267465,6.600712558849726
A_ctrl_000230,A,non-targeting-11,26189.0,6691,0.10309672,8.11791210050021
A_ctrl_000231,A,non-targeting-11,30151.0,6890,0.33166397,6.898610328015654
A_ctrl_000232,A,non-targeting-11,29587.0,7090,0.4900801,7.445837698989421
A_ctrl_000233,A,non-targeting-11,26253.0,6692,0.45328155,8.239058393326477
A_ctrl_000234,A,non-targeting-11,23573.0,6394,0.24180205,9.158783353837016
A_ctrl_000235,A,non-targeting-11,22036.0,6425,0.5400254,10.419313850063533
A_ctrl_000236,A,non-targeting-11,38849.0,7460,0.29601792,4.849545676851399
A_ctrl_000237,A,non-targeting-11,21951.0,6159,0.12755683,9.45742790761241
A_ctrl_000238,A,non-targeting-11,41866.0,7634,0.44905177,4.600391725982898
A_ctrl_000239,A,non-targeting-11,29026.0,7018,0.6614759,7.203886171019087
A_ctrl_000240,A,non-targeting-11,21689.0,6477,0.26741666,10.58601134215501
A_ctrl_000241,A,non-targeting-11,28800.0,6849,0.22222222,7.15625
A_ctrl_000242,A,non-targeting-11,9089.0,4293,0.022004621,24.4251292771482
A_ctrl_000243,A,non-targeting-11,41025.0,7636,0.07556368,4.5874466788543575
A_ctrl_000244,A,non-targeting-11,17423.0,5668,0.3443724,12.684382712506457
A_ctrl_000245,A,non-targeting-11,24538.0,6336,0.54201645,8.57853125764121
A_ctrl_000246,A,non-targeting-11,19178.0,6117,0.41193035,12.034623005527166
A_ctrl_000247,A,non-targeting-11,25893.0,6649,1.1199938,8.41926389371645
A_ctrl_000248,A,non-targeting-11,22089.0,6392,0.23993842,10.186065462447372
A_ctrl_000249,A,non-targeting-11,28518.0,6954,0.11220983,7.342730906795708
A_ctrl_000250,A,non-targeting-11,26144.0,6619,0.6425949,7.990361077111383
A_ctrl_000251,A,non-targeting-11,13656.0,5089,0.8933802,16.71792618629174
A_ctrl_000252,A,non-targeting-11,17781.0,6144,0.26432708,13.480681626455205
A_ctrl_000253,A,non-targeting-11,14130.0,5246,0.049539987,16.022646850672327
A_ctrl_000254,A,non-targeting-11,11046.0,4705,0.68803185,20.903494477638965
A_ctrl_000255,A,non-targeting-11,21473.0,6159,0.27942067,10.1941973641317
A_ctrl_000256,A,non-targeting-11,5389.0,2991,0.2041195,34.31063277045834
A_ctrl_000257,A,non-targeting-11,32261.0,7372,0.22627942,6.7201884628498805
A_ctrl_000258,A,non-targeting-11,21425.0,6404,0.3687281,10.43173862310385
A_ctrl_000259,A,non-targeting-11,18187.0,5917,0.09897179,12.536427118271293
A_ctrl_000260,A,non-targeting-11,32927.0,7182,0.20955446,6.095301728065114
A_ctrl_000261,A,non-targeting-11,24696.0,6791,0.105280206,9.588597343699384
A_ctrl_000262,A,non-targeting-11,14459.0,5642,0.08299329,17.37326232796182
A_ctrl_000263,A,non-targeting-11,23001.0,6561,0.5217164,9.916960132168166
A_ctrl_000264,A,non-targeting-11,12399.0,5052,0.2661505,18.993467215097994
A_ctrl_000265,A,non-targeting-11,28603.0,7039,0.2761948,7.46075586476943
A_ctrl_000266,A,non-targeting-11,29930.0,7163,0.11693953,7.323755429335115
A_ctrl_000267,A,non-targeting-11,35025.0,7458,0.3540328,5.921484653818701
A_ctrl_000268,A,non-targeting-11,22314.0,6461,0.48848256,10.361208210092318
A_ctrl_000269,A,non-targeting-11,13653.0,5211,0.2856515,17.183036695231817
A_ctrl_000270,A,non-targeting-11,6909.0,3661,0.21710813,31.23462150817774
A_ctrl_000271,A,non-targeting-11,11816.0,4854,0.11848342,20.082938388625593
A_ctrl_000272,A,non-targeting-11,9149.0,4295,0.31697455,25.051918242430865
A_ctrl_000273,A,non-targeting-11,8212.0,4045,1.5586946,27.898197759376522
A_ctrl_000274,A,non-targeting-11,15559.0,5421,0.4499004,14.338967799987145
A_ctrl_000275,A,non-targeting-11,5675.0,3253,1.1982379,35.29515418502203
A_ctrl_000276,A,non-targeting-11,11329.0,4631,0.21184571,19.516285638626535
A_ctrl_000277,A,non-targeting-11,43524.0,8101,0.1884018,4.652605459057072
A_ctrl_000278,A,non-targeting-11,23701.0,6828,0.19408463,9.63672418885279
A_ctrl_000279,A,non-targeting-11,12152.0,4893,0.20572746,18.93515470704411
A_ctrl_000280,A,non-targeting-11,23893.0,6316,0.12555979,8.877076968149668
A_ctrl_000281,A,non-targeting-11,25289.0,6872,0.38356596,8.952508996006168
A_ctrl_000282,A,non-targeting-11,16992.0,5750,0.7179849,13.94774011299435
A_ctrl_000283,A,non-targeting-11,29317.0,6709,0.41614082,6.862912303441689
A_ctrl_000284,A,non-targeting-11,17082.0,5530,0.7434727,12.884908090387542
A_ctrl_000285,A,non-targeting-11,12158.0,5004,0.30432636,19.805889126501068
A_ctrl_000286,A,non-targeting-11,25391.0,6605,0.20479697,8.585719349375763
A_ctrl_000287,A,non-targeting-11,35563.0,7162,0.5426989,5.365126676602086
A_ctrl_000288,A,non-targeting-11,27334.0,6845,0.09146118,7.76688373454306
A_ctrl_000289,A,non-targeting-11,18100.0,6118,0.24309391,13.425414364640885
A_ctrl_000290,A,non-targeting-11,18021.0,5740,1.1708562,12.10254702846679
A_ctrl_000291,A,non-targeting-11,17370.0,5822,0.051813472,13.79965457685665
A_ctrl_000292,A,non-targeting-11,17618.0,6007,0.15325235,12.878873878987399
A_ctrl_000293,A,non-targeting-11,20883.0,6215,0.22506346,10.740793947229804
A_ctrl_000294,A,non-targeting-11,22067.0,6259,1.2552681,9.720396972855395
A_ctrl_000295,A,non-targeting-11,22957.0,6307,0.3746134,9.74430456941238
A_ctrl_000296,A,non-targeting-11,15819.0,6022,0.16435932,16.65718439850812
A_ctrl_000297,A,non-targeting-11,19689.0,6086,0.2539489,11.458174615267408
A_ctrl_000298,A,non-targeting-11,30745.0,7019,0.83916086,6.937713449341357
A_ctrl_000299,A,non-targeting-11,19811.0,5883,0.16657412,11.337135934581799
A_ctrl_000300,A,non-targeting-11,11292.0,4739,0.18597238,20.563230605738575
A_ctrl_000301,A,non-targeting-11,30711.0,7156,0.501449,6.860733938979519
A_ctrl_000302,A,non-targeting-11,16652.0,5600,0.17415325,13.734085995676194
A_ctrl_000303,A,non-targeting-11,13716.0,5074,0.0801983,17.147856517935256
A_ctrl_000304,A,non-targeting-11,13447.0,5064,0.2528445,16.724920056518183
A_ctrl_000305,A,non-targeting-11,18506.0,5857,0.24316439,12.228466443315682
A_ctrl_000306,A,non-targeting-11,17507.0,5840,0.04569601,13.468898155023705
A_ctrl_000307,A,non-targeting-11,18843.0,5925,0.07429815,12.312264501406357
A_ctrl_000308,A,non-targeting-11,20547.0,6294,0.038935125,11.597800165474279
A_ctrl_000309,A,non-targeting-11,12723.0,5005,0.16505541,18.08535722706909
A_ctrl_000310,A,non-targeting-11,25078.0,6337,0.07576361,8.537363426110534
A_ctrl_000311,A,non-targeting-11,20482.0,6342,0.44917488,11.102431403183283
A_ctrl_000312,A,non-targeting-11,18287.0,6150,0.08202548,13.446710778148411
A_ctrl_000313,A,non-targeting-11,21026.0,6397,0.47084564,10.838961286026825
A_ctrl_000314,A,non-targeting-11,15893.0,5553,0.36494055,14.603913672686089
A_ctrl_000315,A,non-targeting-11,7686.0,3798,2.120739,28.129065833983866
A_ctrl_000316,A,non-targeting-11,9784.0,4501,0.11242846,24.417416189697466
A_ctrl_000317,A,non-targeting-11,32603.0,7352,0.33432508,6.419654633009232
A_ctrl_000318,A,non-targeting-11,13850.0,5174,0.6498195,16.216606498194945
A_ctrl_000319,A,non-targeting-11,18168.0,5902,0.22567151,13.386173491853809
A_ctrl_000320,A,non-targeting-11,35186.0,7377,1.1709203,5.7267094867276755
A_ctrl_000321,A,non-targeting-11,7515.0,3893,0.42581502,30.326014637391882
A_ctrl_000322,A,non-targeting-11,20991.0,6335,0.43351912,10.90467343147063
A_ctrl_000323,A,non-targeting-11,6085.0,3368,1.018899,33.55792933442893
A_ctrl_000324,A,non-targeting-11,8684.0,4111,0.7600184,25.50667894979272
A_ctrl_000325,A,non-targeting-11,23512.0,6689,0.19989792,9.918339571282749
A_ctrl_000326,A,non-targeting-11,23240.0,6181,0.07314974,9.070567986230637
A_ctrl_000327,A,non-targeting-11,24779.0,6738,0.25424755,9.152911739779652
A_ctrl_000328,A,non-targeting-11,18941.0,6056,0.25869805,12.364711472467135
A_ctrl_000329,A,non-targeting-11,37599.0,7520,0.2712838,5.313971116253092
A_ctrl_000330,A,non-targeting-11,14906.0,5444,0.63732725,14.960418623373139
